"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"ABKQ4J2P3CADD","cs_wg_full_v1_pilot1","3PJ71Z61R43P0II8IP6AQSA1KQB91Y","0","Third-to-last letter late","0","[6,20,13,21,16,22,15,9,13,16,5,17]","0","26","1","30313","shiver",,"21000",,,"2018-06-05 20:16:42","17964"
"ABKQ4J2P3CADD","cs_wg_full_v1_pilot1","3PJ71Z61R43P0II8IP6AQSA1KQB91Y","0","Memory","1","[]","1","30","1","15220","[""bullet"",""shiver"",""science"",""church"",""parent"",""coffee"",""flight"",""cricket"",""turkey"",""kidney"",""bikini"",""sunburn""]","[""5"",""3"",""5"",""6"",""16"",""17"",""12"",""3"",""9"",""8"",""8"",""5""]","181000",,,"2018-06-05 20:20:00","17965"
"A3DAQQDUWAZ6LA","cs_wg_full_v1_pilot1","35DR22AR5DLBBHEL89Q7UOBGPDG3X3","1","Third-to-last letter early","0","[21,7,14,6,11,5,12,18,14,11,22,10]","0","7","0","3614","alphabet ","money based ","21000",,,"2018-06-05 20:24:09","17966"
"A3DAQQDUWAZ6LA","cs_wg_full_v1_pilot1","35DR22AR5DLBBHEL89Q7UOBGPDG3X3","1","Memory","1","[]","1","1","0","2205","[""SPONGE "",""bullet"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket"",""jacket""]","[""8"",""7"",""12"",""10"",""8"",""7"",""5"",""3"",""8"",""12"",""7"",""5""]","181000",,,"2018-06-05 20:27:15","17967"
"A3HZ8JZAJB124J","cs_wg_full_v1_pilot1","3PDJHANYK5HDMA1OM76JY5Z6BEZ6HJ","0","Third-to-last letter late","0","[6,20,13,21,16,22,15,9,13,16,5,17]","0","26","1","35340","spatula","spatula","21000",,,"2018-06-05 20:27:49","17968"
"A39XIQCFSCNHFU","cs_wg_full_v1_pilot1","31Z0PCVWUKGMVJ6O5BS0I22QHJHT7I","1","Third-to-last letter early","0","[21,7,14,6,11,5,12,18,14,11,22,10]","0","26","1","24368","FLIGHT",,"21000",,,"2018-06-05 20:29:40","17969"
"A3HZ8JZAJB124J","cs_wg_full_v1_pilot1","3PDJHANYK5HDMA1OM76JY5Z6BEZ6HJ","0","Memory","1","[]","1","30","1","31678","[""coffin"",""heaven"",""preist"",""basket"",""spatula"",""jacket"",""domino"",""planet"","""","""","""",""""]","[""17"",""3"",""16"",""3"",""5"",""9"",""8"",""3"","""","""","""",""""]","181000",,,"2018-06-05 20:31:23","17970"
"A39XIQCFSCNHFU","cs_wg_full_v1_pilot1","31Z0PCVWUKGMVJ6O5BS0I22QHJHT7I","1","Memory","1","[]","1","30","1","20801","[""CANVAS"",""SCIENCE"",""CRICKET"",""CELERY"",""TRAFFIC"",""FLIGHT"",""BAGPIPE"",""KIDNEY"",""WALRUS"",""BULLET"","""",""""]","[""3"",""5"",""3"",""16"",""17"",""12"",""8"",""8"",""6"",""5"","""",""""]","181000",,,"2018-06-05 20:33:03","17971"
"ASDOYPL3T2CFL","cs_wg_full_v1_pilot1","3H7XDTSHKCSXGTLJTJ15BZMIKGEWGA","0","Third-to-last letter late","0","[6,20,13,21,16,22,15,9,13,16,5,17]","0","26","1","102651",,,"21000",,,"2018-06-05 20:34:35","17972"
"A014297063OPPUEBTOLM","cs_wg_full_v1_pilot1","3O6CYIULED2GLBMEDOQMFEN9TOTWUA","0","Third-to-last letter late","0","[6,20,13,21,16,22,15,9,13,16,5,17]","0","26","1","87061","monkey",,"21000",,,"2018-06-05 20:35:19","17973"
