"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","0","40","1","20891","Bookshelf","Community
Wedding
Bookshelf","31000","2017-03-27 15:12:57","2226"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","30","1","10281","helicopter","bookshelf
community
helicopter","21000","2017-03-27 15:13:30","2227"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","2","25","1","15782","bookshelf","community
wedding
machine
bookshelf
helicopter","26000","2017-03-27 15:14:14","2228"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","20","1","26865","community","community
bookshelf
","16000","2017-03-27 15:14:59","2229"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","70","1","31250","machine","community
bookshelf
wedding
machine
umbrella","31000","2017-03-27 15:16:03","2230"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","0","25","1","43699","BOOKSHELF",,"26000","2017-03-27 15:16:44","2231"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","5","60","1","18763","bookshelf","umbrella
wedding
helicopter
bookshelf","21000","2017-03-27 15:16:45","2232"
"AW0MG225VXWCN","cs_wg_v3_real2","3N2BF7Y2VQVFBDMG9ND0N1WPOPYHMR","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","0","40","1","31740","Machine",,"31000","2017-03-27 15:16:53","2233"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","6","15","1","7204","community","wedding
community
umbrella
machine
bookshelf","26000","2017-03-27 15:17:20","2234"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","1","70","1","26370","WEDDING",,"31000","2017-03-27 15:17:44","2235"
"AW0MG225VXWCN","cs_wg_v3_real2","3N2BF7Y2VQVFBDMG9ND0N1WPOPYHMR","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","1","25","1","45488","wedding",,"16000","2017-03-27 15:17:56","2236"
"AEF74ZYJTTEIA","cs_wg_v3_real2","3QAVNHZ3EM5GV8WH352T62UWBPIAL7","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","7","25","1","27152","machine","wedding
machin","16000","2017-03-27 15:18:05","2237"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","2","20","1","12231","FOOTBALL",,"16000","2017-03-27 15:18:14","2238"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","3","60","1","24390","BOOKSHELF",,"21000","2017-03-27 15:19:01","2239"
"A3CFBT2CBQQIZY","cs_wg_v3_real2","35K3O9HUABEXLT3XXZ1H78F3Z8UFE2","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","58982",,"Valle","21000","2017-03-27 15:19:05","2240"
"AW0MG225VXWCN","cs_wg_v3_real2","3N2BF7Y2VQVFBDMG9ND0N1WPOPYHMR","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","2","60","0","75607","helicopter",,"31000","2017-03-27 15:19:45","2241"
"A3CFBT2CBQQIZY","cs_wg_v3_real2","35K3O9HUABEXLT3XXZ1H78F3Z8UFE2","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","30","1","17156","Doorway","Doorway
","21000","2017-03-27 15:19:46","2242"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","4","40","1","19029","WEDDING",,"31000","2017-03-27 15:19:53","2243"
"A2BW6WD7LZ9EGV","cs_wg_v3_real2","3Q5ZZ9ZEVOGOAV0HEK28TMS4ZBI58A","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","5","15","1","9625","STOMACH",,"26000","2017-03-27 15:20:31","2244"
"AW0MG225VXWCN","cs_wg_v3_real2","3N2BF7Y2VQVFBDMG9ND0N1WPOPYHMR","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","3","30","1","30298","machine",,"21000","2017-03-27 15:20:38","2245"
