Subj,Trial,OptionID,Choice,numExposures,MFval,MBval,nPrevChosen
2,1,13,0,4,4,3,0
2,1,14,0,4,10,2,0
2,1,15,0,5,1,3,0
2,1,16,0,4,8,3,0
2,1,17,0,7,3,1,0
2,1,18,0,6,7,4,0
2,1,19,1,8,2,4,0
2,1,20,0,5,8,4,0
2,2,1,0,4,3,2,0
2,2,2,0,5,4,4,0
2,2,3,0,5,1,6,0
2,2,4,0,8,2,0,0
2,2,5,0,8,0,3,0
2,2,6,0,8,6,3,0
2,2,7,0,7,0,3,0
2,2,8,0,6,6,3,0
2,2,9,0,7,7,2,0
2,2,10,0,6,9,3,0
2,2,11,1,6,9,4,0
2,2,12,0,7,10,3,0
2,2,13,0,4,4,1,0
2,2,14,0,4,10,2,0
2,2,15,0,5,1,2,0
2,2,16,0,4,8,6,0
2,2,17,0,7,3,4,0
2,2,18,0,6,7,3,0
2,2,19,0,8,2,3,1
2,2,20,0,5,8,0,0
2,3,1,0,4,3,1,0
2,3,2,0,5,4,4,0
2,3,3,0,5,1,1,0
2,3,4,0,8,2,4,0
2,3,5,1,8,0,4,0
2,3,6,0,8,6,2,0
2,3,7,0,7,0,2,0
2,3,8,0,6,6,3,0
2,3,9,0,7,7,5,0
2,3,10,0,6,9,1,0
2,3,11,0,6,9,0,1
2,3,12,0,7,10,4,0
2,3,13,0,4,4,3,0
2,3,14,0,4,10,4,0
2,3,15,0,5,1,2,0
2,3,16,0,4,8,1,0
2,3,17,0,7,3,2,0
2,3,18,0,6,7,1,0
2,3,19,0,8,2,1,1
2,3,20,0,5,8,4,0
2,4,1,0,4,3,2,0
2,4,2,0,5,4,4,0
2,4,3,0,5,1,4,0
2,4,4,0,8,2,3,0
2,4,5,0,8,0,4,1
2,4,6,0,8,6,4,0
2,4,7,0,7,0,2,0
2,4,8,0,6,6,5,0
2,4,9,0,7,7,4,0
2,4,10,0,6,9,3,0
2,4,11,0,6,9,3,1
2,4,12,0,7,10,4,0
2,4,13,0,4,4,2,0
2,4,14,0,4,10,3,0
2,4,15,1,5,1,4,0
2,4,16,0,4,8,5,0
2,4,17,0,7,3,3,0
2,4,18,0,6,7,4,0
2,4,19,0,8,2,3,1
2,4,20,0,5,8,2,0
2,5,1,0,4,3,8,0
2,5,2,0,5,4,14,0
2,5,3,0,5,1,12,0
2,5,4,0,8,2,23,0
2,5,5,0,8,0,15,1
2,5,6,1,8,6,24,0
2,5,7,0,7,0,26,0
2,5,8,0,6,6,6,0
2,5,9,0,7,7,12,0
2,5,10,0,6,9,13,0
2,5,11,0,6,9,12,1
2,5,12,0,7,10,9,0
2,5,13,0,4,4,23,0
2,5,14,0,4,10,2,0
2,5,15,0,5,1,9,1
2,5,16,0,4,8,15,0
2,5,17,0,7,3,12,0
2,5,18,0,6,7,22,0
2,5,19,0,8,2,12,1
2,5,20,0,5,8,25,0
2,6,1,0,4,3,0,0
2,6,2,0,5,4,14,0
2,6,3,0,5,1,7,0
2,6,4,0,8,2,0,0
2,6,5,0,8,0,8,1
2,6,6,0,8,6,0,1
2,6,7,0,7,0,17,0
2,6,8,0,6,6,14,0
2,6,9,0,7,7,14,0
2,6,10,0,6,9,20,0
2,6,11,0,6,9,14,1
2,6,12,0,7,10,19,0
2,6,13,0,4,4,4,0
2,6,14,0,4,10,4,0
2,6,15,0,5,1,14,1
2,6,16,0,4,8,4,0
2,6,17,1,7,3,19,0
2,6,18,0,6,7,11,0
2,6,19,0,8,2,14,1
2,6,20,0,5,8,12,0
2,7,1,0,4,3,6,0
2,7,2,0,5,4,8,0
2,7,3,0,5,1,12,0
2,7,4,0,8,2,1,0
2,7,5,0,8,0,11,1
2,7,6,0,8,6,1,1
2,7,7,0,7,0,0,0
2,7,8,0,6,6,6,0
2,7,9,0,7,7,5,0
2,7,10,0,6,9,3,0
2,7,11,0,6,9,8,1
2,7,12,0,7,10,18,0
2,7,13,0,4,4,5,0
2,7,14,0,4,10,13,0
2,7,15,0,5,1,1,1
2,7,16,0,4,8,6,0
2,7,17,0,7,3,12,1
2,7,18,0,6,7,8,0
2,7,19,1,8,2,18,1
2,7,20,0,5,8,13,0
2,8,1,0,4,3,15,0
2,8,2,0,5,4,7,0
2,8,3,0,5,1,3,0
2,8,4,0,8,2,13,0
2,8,5,1,8,0,19,1
2,8,6,0,8,6,5,1
2,8,7,0,7,0,3,0
2,8,8,0,6,6,19,0
2,8,9,0,7,7,22,0
2,8,10,0,6,9,2,0
2,8,11,0,6,9,11,1
2,8,12,0,7,10,17,0
2,8,13,0,4,4,5,0
2,8,14,0,4,10,14,0
2,8,15,0,5,1,7,1
2,8,16,0,4,8,12,0
2,8,17,0,7,3,2,1
2,8,18,0,6,7,7,0
2,8,19,0,8,2,1,2
2,8,20,0,5,8,7,0
3,1,1,0,7,6,3,0
3,1,2,0,8,2,1,0
3,1,3,0,4,0,2,0
3,1,4,0,8,3,2,0
3,1,5,0,8,7,1,0
3,1,6,0,8,4,2,0
3,1,7,0,5,1,2,0
3,1,8,0,5,10,2,0
3,1,9,0,7,3,0,0
3,1,10,0,7,9,4,0
3,1,11,0,6,6,5,0
3,1,12,0,4,9,2,0
3,1,13,0,5,1,3,0
3,1,14,0,4,8,2,0
3,1,15,0,6,7,3,0
3,1,16,0,7,4,3,0
3,1,17,0,5,10,1,0
3,1,18,0,6,0,4,0
3,1,19,1,4,2,4,0
3,1,20,0,6,8,4,0
3,2,1,0,7,6,2,0
3,2,2,0,8,2,4,0
3,2,3,0,4,0,6,0
3,2,4,0,8,3,0,0
3,2,5,0,8,7,3,0
3,2,6,0,8,4,3,0
3,2,7,0,5,1,3,0
