1,4,"[11 11 21 2]"
3,3,"[11 11 21 2]"
4,3,"[11 11 21 2]"
5,3,"[11 11 21 2]"
6,3,"[11 11 21 2]"
7,3,"[11 11 21 2]"
9,1,"[11 11 21 2]"
10,3,"[11 11 21 2]"
11,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
12,3,"[11 11 21 2]"
14,12,"[11 11 21 2 2 2 2 2 2 2 2 2]"
17,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
18,2,"[11 11 21 2]"
20,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
21,3,"[11 11 21 2]"
22,3,"[11 11 21 2]"
23,3,"[11 11 21 2]"
25,3,"[11 11 21 2]"
26,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
29,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
30,3,"[11 11 21 2]"
32,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
33,3,"[11 11 21 2]"
34,2,"[11 11 21 2]"
35,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
36,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
38,1,"[11 11 21 2]"
40,3,"[11 11 21 2]"
41,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
42,11,"[11 11 21 2 2 2 2 2 2 2 2 2]"
43,10,"[11 11 21 2 2 2 2 2 2 2 2 2]"
46,8,"[11 11 21 2 2 2 2 2 2 2 2 2]"
48,3,"[11 11 21 2]"
49,3,"[11 11 21 2]"
50,1,"[11 11 21 2]"
51,3,"[11 11 21 2]"
52,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
53,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
55,3,"[11 11 21 2]"
56,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
57,5,"[11 11 21 2 2 2 2 2 2 2 2 2]"
58,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
59,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
60,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
62,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
63,3,"[11 11 21 2]"
64,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
66,3,"[11 11 21 2]"
67,1,"[11 11 21 2]"
68,3,"[11 11 21 2]"
69,5,"[11 11 21 2 2 2 2 2 2 2 2 2]"
70,3,"[11 11 21 2]"
72,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
73,3,"[11 11 21 2]"
75,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
76,2,"[11 11 21 2]"
78,8,"[11 11 21 2 2 2 2 2 2 2 2 2]"
80,3,"[11 11 21 2]"
82,1,"[11 11 21 2]"
85,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
87,3,"[11 11 21 2]"
88,3,"[11 11 21 2]"
90,3,"[11 11 21 2]"
93,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
95,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
96,5,"[11 11 21 2 2 2 2 2 2 2 2 2]"
97,4,"[11 11 21 2]"
98,3,"[11 11 21 2]"
101,4,"[11 11 21 2]"
102,3,"[11 11 21 2]"
103,3,"[11 11 21 2]"
104,1,"[11 11 21 2]"
105,3,"[11 11 21 2]"
109,2,"[11 11 21 2]"
111,7,"[11 11 21 2 2 2 2 2 2 2 2 2]"
112,3,"[11 11 21 2]"
113,4,"[11 11 21 2 2 2 2 2 2 2 2 2]"
114,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
115,3,"[11 11 21 2]"
116,3,"[11 11 21 2]"
117,3,"[11 11 21 2]"
119,9,"[11 11 21 2 2 2 2 2 2 2 2 2]"
120,3,"[11 11 21 2]"
121,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
122,1,"[11 11 21 2]"
124,1,"[11 11 21 2 2 2 2 2 2 2 2 2]"
126,3,"[11 11 21 2 2 2 2 2 2 2 2 2]"
127,3,"[11 11 21 2]"
128,3,"[11 11 21 2]"
129,3,"[11 11 21 2]"
132,3,"[11 11 21 2]"
133,10,"[11 11 21 2 2 2 2 2 2 2 2 2]"
134,3,"[11 11 21 2]"
135,2,"[11 11 21 2]"
136,3,"[11 11 21 2]"
137,3,"[11 11 21 2]"
138,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
139,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
141,2,"[11 11 21 2 2 2 2 2 2 2 2 2]"
142,3,"[11 11 21 2]"
143,2,"[11 11 21 2]"
145,7,"[11 11 21 2 2 2 2 2 2 2 2 2]"
146,3,"[11 11 21 2]"
147,3,"[11 11 21 2]"
148,1,"[11 11 21 2]"
150,3,"[11 11 21 2]"
