"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2ZDK0Y5466BXN","cs_wg_full_v2_conf_real1","3YZ8UPK3VTN77DG9WXQL3KG68BAUCB","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","52091","26","0","CANNON",,"16000",,,"2018-07-03 17:50:46","22991"
"AX1THMSZH9Y80","cs_wg_full_v2_conf_real1","39K0FND3AHG01QE23H386F9OVMKMA7","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","0","0","52924","0","1",,"spiral","16000",,,"2018-07-03 17:50:47","22992"
"AX1THMSZH9Y80","cs_wg_full_v2_conf_real1","39K0FND3AHG01QE23H386F9OVMKMA7","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:false"",""beggar:false"",""throne:false"",""giraffe:false"",""cricket:false"",""parent:false"",""animal:false"",""spiral:true"",""tennis:false"",""dollar:false"",""heaven:false"",""casino:false""]",,"11382",,,"2018-07-03 17:50:59","22993"
"A32AMP44HMD97A","cs_wg_full_v2_conf_real1","3TXMY6UCAEPFFK9SFO6GTJJH5Q9CQT","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","25152","0","1","EARDRUM",,"16000",,,"2018-07-03 17:51:23","22994"
"A2GZNOA5CIVKUB","cs_wg_full_v2_conf_real1","3PQ8K71NHXLZZP5D6ED3XOEO153AAJ","memory","Memory","1","[]","1","30","1","9703",,"0","[""celery"",""jacket"",""domino"",""doller"",""animal"","""","""","""","""","""","""",""""]","[""12"",""10"",""5"",""1"",""9"","""","""","""","""","""","""",""""]","181000",,,"2018-07-03 17:52:26","22995"
"A2ZDK0Y5466BXN","cs_wg_full_v2_conf_real1","3YZ8UPK3VTN77DG9WXQL3KG68BAUCB","memory","Memory","1","[]","1","30","1","25605",,"0","[""TRAFFIC"",""THRONE"",""CANNON"",""HEAVEN"",""SUNBURN"",""ANIMAL"",""CASINO"",""BAKERY"",""BLANKET"","""","""",""""]","[""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"","""","""",""""]","181000",,,"2018-07-03 17:54:15","22996"
"A32AMP44HMD97A","cs_wg_full_v2_conf_real1","3TXMY6UCAEPFFK9SFO6GTJJH5Q9CQT","memory","Memory","1","[]","1","30","1","13658",,"0","[""DRAGON"",""BALCONY"",""SMOKER"",""DOLLAR"",""BIKINI"",""HEAVEN"",""SPATULA"",""SPONGE"",""DEMON"",""FRIEND"",""WAFFLE"",""EARDRUM""]","[""5"",""1"",""7"",""8"",""9"",""10"",""11"",""12"",""2"",""4"",""3"",""6""]","181000",,,"2018-07-03 17:54:40","22997"
"A314TBEN5QMVV4","cs_wg_full_v2_conf_real1","3F6HPJW4JD171ZDCU4GG9VSHH06W21","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","31208","0","1","silver
",,"16000",,,"2018-07-03 17:55:02","22998"
"A1LG5QGG3FLUI1","cs_wg_full_v2_conf_real1","3DBQWDE4Y6Z9D2NLKMRRBJI28YU5NL","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","35978","0","1","cava","canvas","16000",,,"2018-07-03 17:55:07","22999"
"A1LG5QGG3FLUI1","cs_wg_full_v2_conf_real1","3DBQWDE4Y6Z9D2NLKMRRBJI28YU5NL","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:false"",""tongue:false"",""peacock:false"",""traffic:false"",""smoker:false"",""parent:false"",""hermit:false"",""eardrum:false"",""magnet:false"",""pillar:false"",""canvas:true"",""casino:false""]",,"6486",,,"2018-07-03 17:55:15","23000"
