"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A2HGZOXZ36XKRI","cs_wg_v7_pilot1","39O5D9O87TTN8J3QHDUKGBQ44FQC3O",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","36788","Bookshelf",,"181000","2017-09-27 16:06:22","8499"
"ASRHREKY63H3H","cs_wg_v7_pilot1","32XVDSJFPZYBWNJYQ2AT0XQOSFUM25",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","39481","BOOKSHELF",,"181000","2017-09-27 16:06:23","8500"
"AZEGZ5ZVM6P5A","cs_wg_v7_pilot1","33TIN5LC04BMQOTBUEDJ4FL97VI9YA",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","37685","bookshelf","bookshelf","181000","2017-09-27 16:06:25","8501"
"AZEGZ5ZVM6P5A","cs_wg_v7_pilot1","33TIN5LC04BMQOTBUEDJ4FL97VI9YA",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","8896","bookshelf",,"31000","2017-09-27 16:07:12","8503"
"ASRHREKY63H3H","cs_wg_v7_pilot1","32XVDSJFPZYBWNJYQ2AT0XQOSFUM25",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","12990","bookshelf",,"31000","2017-09-27 16:07:14","8504"
"A2HGZOXZ36XKRI","cs_wg_v7_pilot1","39O5D9O87TTN8J3QHDUKGBQ44FQC3O",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","17479","Football",,"31000","2017-09-27 16:07:17","8505"
"A3PIAHR6PGXZNT","cs_wg_v7_pilot1","34BBWHLWHACBCKREJ718WBZWFD5IW3",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","29499","Umbrella",,"181000","2017-09-27 16:09:43","8506"
"AJP3A4R5044QG","cs_wg_v7_pilot1","324G5B4FB39LFA9X794QYR0J0SF70V",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","242655","BOOKSHELF ",,"181000","2017-09-27 16:09:48","8507"
"A1Y689M29Q274B","cs_wg_v7_pilot1","3WMINLGALB4NS42BQS9U3J4AAPICAK",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","5","0","25297","BOOKSHELF",,"181000","2017-09-27 16:10:46","8509"
"AJP3A4R5044QG","cs_wg_v7_pilot1","324G5B4FB39LFA9X794QYR0J0SF70V",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","29188","Football",,"31000","2017-09-27 16:10:55","8510"
"A1Y689M29Q274B","cs_wg_v7_pilot1","3WMINLGALB4NS42BQS9U3J4AAPICAK",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","15330","BOOKSHELF",,"31000","2017-09-27 16:11:39","8512"
"A1USDMJVT10CE4","cs_wg_v7_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSS4KBAE",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","15427","seagal",,"181000","2017-09-27 16:15:55","8516"
"A1USDMJVT10CE4","cs_wg_v7_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSS4KBAE",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","46421","topical",,"31000","2017-09-27 16:17:20","8518"
"A1MGXQW1EEKE20","cs_wg_v7_pilot1","33FBRBDW6O099G9WTUPG7SYFK1IC8G",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","33646","BOOKSHELF",,"181000","2017-09-27 16:18:13","8520"
"A35C12CR628WKD","cs_wg_v7_pilot1","3ATTHHXXWAPQ1KW4TCXUYUD3OFBIXW",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","26976","football",,"181000","2017-09-27 16:19:01","8521"
"A1MGXQW1EEKE20","cs_wg_v7_pilot1","33FBRBDW6O099G9WTUPG7SYFK1IC8G",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","16372","football",,"31000","2017-09-27 16:19:08","8522"
"A35C12CR628WKD","cs_wg_v7_pilot1","3ATTHHXXWAPQ1KW4TCXUYUD3OFBIXW",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","29439","helicopter ",,"31000","2017-09-27 16:20:10","8524"
"A3VP27UUQ34OXK","cs_wg_v7_pilot1","3EF8EXOTT1WE6UVH41XNFMO2WFLJ1H",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","40428","football",,"181000","2017-09-27 16:21:16","8526"
"A3VP27UUQ34OXK","cs_wg_v7_pilot1","3EF8EXOTT1WE6UVH41XNFMO2WFLJ1H",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","3","1","57897","poolstick",,"31000","2017-09-27 16:22:52","8527"
"A3FP9YHFUFOGB0","cs_wg_v7_pilot1","3IGI0VL647LVLCT3P1NQKPIRYA0OND",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","81943","Bookshelf",,"181000","2017-09-27 16:24:42","8529"
"A3NKA0NIM0TX5C","cs_wg_v7_pilot1","3D8YOU6S9ELIRW78M6DIHKOUL6Z6UY",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","21701","basket",,"181000","2017-09-27 16:25:15","8530"
