"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","38859","FOOTBALL",,"181000","2017-09-27 20:18:19","8707"
"A3DFAMWCUGEYTD","cs_wg_v7_pilot2","3OB0CAO74HQF5UBUSQ1BHWJXQ9CYHD",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","5","0","28379","BOOKSHELF",,"181000","2017-09-27 20:18:21","8708"
"A1DINOR5IK1YC4","cs_wg_v7_pilot2","3VSOLARPKBALALWN5TKTELPWYVA39N",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","38330","bookshelf",,"181000","2017-09-27 20:18:59","8709"
"A3DFAMWCUGEYTD","cs_wg_v7_pilot2","3OB0CAO74HQF5UBUSQ1BHWJXQ9CYHD",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","20301","bookshelf",,"21000","2017-09-27 20:19:17","8710"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","25712","STRUCTURE",,"21000","2017-09-27 20:19:22","8711"
"A248P03SBIGVNH","cs_wg_v7_pilot2","36U2A8VAG1067KC2YB48UOZPIQGYKH",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","19025","UMBRELLA",,"181000","2017-09-27 20:19:28","8712"
"A1DINOR5IK1YC4","cs_wg_v7_pilot2","3VSOLARPKBALALWN5TKTELPWYVA39N",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","19398","traffic",,"21000","2017-09-27 20:19:53","8713"
"A248P03SBIGVNH","cs_wg_v7_pilot2","36U2A8VAG1067KC2YB48UOZPIQGYKH",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","26551","HOSPITAL","lol no","21000","2017-09-27 20:20:29","8714"
"ADENP3JI8ZBUV","cs_wg_v7_pilot2","3CPLWGV3MO0SEPPXNC48NZN23C19N9",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","5","0","43947","football",,"181000","2017-09-27 20:21:39","8715"
"A52FUUEDGSZT9","cs_wg_v7_pilot2","3X87C8JFV6CVM1YOCAWG8ONX0BCQSN",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","6","1","40036","bookshelf",,"181000","2017-09-27 20:22:30","8716"
"A3DFAMWCUGEYTD","cs_wg_v7_pilot2","3OB0CAO74HQF5UBUSQ1BHWJXQ9CYHD",,"Memory","2",,"2","10","1","10608","[""Bookshelf"",""Umbrella"",""VIRTUAL"","""","""","""","""","""","""","""","""","""","""",""""]",,"181000","2017-09-27 20:22:31","8717"
"A1BBJJHGM0ADN7","cs_wg_v7_pilot2","3WYGZ5XF3WG9BY0TZ5CJC2BO15LSKY",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","5","0","34285","FOOTBALL",,"181000","2017-09-27 20:22:34","8718"
"A05977571SZ38O16ESGP8","cs_wg_v7_pilot2","35GMH2SV3EIRR6GQW2K7U2OIKJLOEC",,"Memory","2",,"2","10","1","10868","[""FOOTBALL"",""COMMUNITY"",""STRUCTURE"","""","""","""","""","""","""","""","""","""","""",""""]",,"181000","2017-09-27 20:22:36","8719"
"AADDOP3FHMAV1","cs_wg_v7_pilot2","38YMOXR4MU0VJ0WDH6SJZ89R6NXW6C",,"s,g,e,f,b,n,l","0","[3,1,2,1,5,4,4,0,3,2,2,2,2,3]","0","5","0","38792","umbrella",,"181000","2017-09-27 20:22:57","8720"
"ADENP3JI8ZBUV","cs_wg_v7_pilot2","3CPLWGV3MO0SEPPXNC48NZN23C19N9",,"t,p,o,k,i,c,h","1","[1,4,0,4,4,0,3,2,6,3,3,3,2,2]","1","4","1","35213",,,"21000","2017-09-27 20:23:01","8721"
