"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A3P79MY5ZYQA41","cs_wg_mon_freq_v1_real1","3TPZPLC3M0D628CUMIGQ0BPEZEV3PH","1","OCTOBER","9","8","20","0","2019-01-07 14:51:44","149336"
"A3P79MY5ZYQA41","cs_wg_mon_freq_v1_real1","3TPZPLC3M0D628CUMIGQ0BPEZEV3PH","0","DECEMBER","11","14","3","0","2019-01-07 14:51:44","149337"
"A3P79MY5ZYQA41","cs_wg_mon_freq_v1_real1","3TPZPLC3M0D628CUMIGQ0BPEZEV3PH","3","NOVEMBER","10","8","22","0","2019-01-07 14:51:44","149338"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","4","JANUARY","0","8","14","0","2019-01-07 14:52:47","149339"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","0","MARCH","2","14","18","0","2019-01-07 14:52:47","149340"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","0","FEBRUARY","1","10","2","0","2019-01-07 14:52:47","149341"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","0","MAY","4","12","25","0","2019-01-07 14:52:47","149342"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","1","JUNE","5","8","14","0","2019-01-07 14:52:47","149343"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","2","APRIL","3","8","18","0","2019-01-07 14:52:47","149344"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","5","NOVEMBER","10","8","22","0","2019-01-07 14:52:47","149345"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","0","DECEMBER","11","6","3","0","2019-01-07 14:52:47","149346"
