"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","58124","0","1","Dece",,"21000",,,"2018-08-31 16:32:25","24337"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","15","0","7047","15","0","boston","i dont know","21000",,,"2018-08-31 16:32:35","24338"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","15084","0","1","February",,"21000",,,"2018-08-31 16:32:37","24339"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""September"":1,""December"":1,""November"":1,""January"":1,""May"":0,""April"":0,""August"":0,""October"":1,""February"":0,""March"":1,""July"":0,""June"":1}",,"15380",,,"2018-08-31 16:33:22","24340"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","40963","0","1","February",,"21000",,,"2018-08-31 16:33:23","24341"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""March"":0,""November"":0,""September"":0,""December"":1,""May"":1,""July"":0,""October"":1,""June"":1,""January"":1,""August"":1,""April"":1,""February"":1}",,"18682",,,"2018-08-31 16:33:42","24342"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""February"":0,""April"":0,""October"":1,""January"":1,""May"":0,""December"":1,""March"":0,""June"":0,""July"":0,""August"":1,""November"":1,""September"":0}",,"11243",,,"2018-08-31 16:33:47","24343"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","15","0","32505","0","1","Cracker","Cracker","21000",,,"2018-08-31 16:34:06","24344"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","61256","0","1","creepy",,"21000",,,"2018-08-31 16:34:08","24345"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","15","0","4560","15","0","day","day","21000",,,"2018-08-31 16:34:17","24346"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","80807","15","0","Septemger","cracker
","21000",,,"2018-08-31 16:34:37","24347"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","25856","26","0","yes",,"21000",,,"2018-08-31 16:35:07","24348"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""November"":0,""February"":0,""April"":0,""June"":0,""December"":0,""May"":0,""January"":0,""October"":0,""August"":0,""July"":0,""September"":0,""March"":0}",,"7615",,,"2018-08-31 16:35:10","24349"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""January"":1,""March"":1,""October"":1,""June"":1,""July"":1,""August"":1,""February"":1,""September"":1,""April"":1,""December"":1,""November"":1,""May"":1}",,"7730",,,"2018-08-31 16:35:11","24350"
"A2CJ89LQ5VWNO9","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBY4A1","early","Third letter early","0","[13,25,9,9,2,13,15,20,11,7,5,24]","0","26","1","29658","0","1","august","may
june
july
august
sep
oct
nov
","21000",,,"2018-08-31 16:35:18","24351"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""March"":0,""June"":1,""August"":1,""September"":0,""December"":0,""July"":1,""January"":0,""May"":0,""April"":1,""November"":0,""February"":1,""October"":0}",,"71994",,,"2018-08-31 16:35:22","24352"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""March"":0,""November"":1,""May"":1,""February"":0,""July"":0,""August"":0,""January"":0,""April"":0,""December"":1,""October"":0,""June"":0,""September"":0}",,"22964",,,"2018-08-31 16:35:42","24353"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""April"":0,""August"":0,""February"":0,""December"":0,""January"":0,""May"":0,""June"":0,""September"":0,""March"":0,""October"":0,""July"":0,""November"":0}",,"3319",,,"2018-08-31 16:35:52","24354"
