1,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
1,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
3,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
3,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
4,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
6,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
6,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
8,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
8,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
9,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
9,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
11,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
11,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
12,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
12,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
14,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
14,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
16,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
16,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
17,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
17,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
18,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
18,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
19,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
19,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
20,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
20,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
23,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
23,4,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
25,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
25,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
26,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
26,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
27,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
27,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
28,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
28,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
29,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
29,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
32,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
32,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
34,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
34,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
35,1,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
36,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
36,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
39,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
40,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
41,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
42,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
42,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
43,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
43,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
47,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
47,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
48,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
49,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
49,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
50,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
50,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
51,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
51,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
52,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
52,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
53,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
53,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
56,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
59,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
59,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
60,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
60,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
63,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
64,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
64,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
68,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
69,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
69,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
72,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
72,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
73,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
74,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
74,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
75,2,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
75,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
76,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
76,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
77,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
77,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
78,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
78,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
79,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
79,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
81,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
81,12,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
82,6,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
86,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
86,7,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
87,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
87,4,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
88,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
88,9,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
91,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
91,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
92,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
92,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
93,7,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
93,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
94,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
94,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
95,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
95,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
96,14,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
96,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
98,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
99,12,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
99,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
101,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
101,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
102,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
102,9,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
104,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
104,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
107,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
107,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
108,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
108,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
109,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
110,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
110,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
111,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
111,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
112,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
112,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
113,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
113,11,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
114,14,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
114,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
115,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
115,1,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
118,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
118,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
121,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
121,8,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
122,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
122,14,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
123,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
123,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
124,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
124,14,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
126,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
126,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
129,1,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
129,13,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
131,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
131,10,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
133,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
133,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
136,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
136,3,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
137,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
138,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
138,5,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
139,9,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
139,12,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
143,8,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
