"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","27","0","ADULT","8","HOCKEY","15","1","1980",,,,,"0","2018-10-04 20:24:23","263768"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","28","0","ADULT","8","BAKER","1","0","1393",,,,,"0","2018-10-04 20:24:28","263769"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","29","0","BAKER","1","HOCKEY","15","1","740",,,,,"0","2018-10-04 20:24:31","263770"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","30","0","TOMATO","7","ADULT","8","1","1878",,,,,"0","2018-10-04 20:24:35","263771"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","31","0","TOMATO","7","NAPKIN","8","1","2852",,,,,"0","2018-10-04 20:24:40","263772"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","32","0","HOCKEY","15","BAKER","1","0","851",,,,,"0","2018-10-04 20:24:44","263773"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","33","0","NAPKIN","8","BAKER","1","0","1550",,,,,"0","2018-10-04 20:24:48","263774"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","34","0","NAPKIN","8","TOMATO","7","0","2634",,,,,"0","2018-10-04 20:24:52","263775"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","35","0","ADULT","8","TOMATO","7","0","2681",,,,,"0","2018-10-04 20:24:58","263776"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","36","0","NAPKIN","8","TOMATO","7","0","10830",,,,,"0","2018-10-04 20:25:11","263777"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","37","0","HOCKEY","15","NAPKIN","8","0","698",,,,,"0","2018-10-04 20:25:14","263778"
