"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A1B12H23Q4YE6J","cs_wg_rev_conf_v3_pilot1","3ZY8KE4ISJ4BETFS651LJB76GE8QVD","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","42518","26","0","BLOUSE",,"21000",,,"2018-10-18 20:44:36","27622"
"A1B12H23Q4YE6J","cs_wg_rev_conf_v3_pilot1","3ZY8KE4ISJ4BETFS651LJB76GE8QVD","small","Memory","1","[11,11,21,2]","1","9","0","29231",,"0","[""BLOUSE"",""CRICKET"",""AIRBAG"",""HOCKEY""]",,"181000",,,"2018-10-18 20:48:08","27623"
"A2IW9L0OVI3D0I","cs_wg_rev_conf_v3_pilot1","3E13VNJ1NNWIBJBBMJCN3L9400L1IX","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","23291","0","1","sauce",,"21000",,,"2018-10-18 20:48:52","27624"
"A3DCGKISDE1HWO","cs_wg_rev_conf_v3_pilot1","3LEIZ60CDJ0MVE3GQ0F2IMUDUPAZ90","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","36835","0","1","cookie","cookie
lizard
cowboy
","21000",,,"2018-10-18 20:49:37","27625"
"A3NPYIGN1MP121","cs_wg_rev_conf_v3_pilot1","3H0W84IWBK3UOJ86OU1BOXTPC57ERW","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","34266","0","1","CHICKEN",,"21000",,,"2018-10-18 20:50:46","27626"
"A2IW9L0OVI3D0I","cs_wg_rev_conf_v3_pilot1","3E13VNJ1NNWIBJBBMJCN3L9400L1IX","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","17650",,"0","[""airbag"",""sauce"",""banana"",""pelican"",""cricket"",""volcano"",""chicken"",""palace"",""cowboy"",""grenade"",""avocado""]",,"181000",,,"2018-10-18 20:52:13","27627"
"A3DCGKISDE1HWO","cs_wg_rev_conf_v3_pilot1","3LEIZ60CDJ0MVE3GQ0F2IMUDUPAZ90","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","23061",,"0","[""Cookie"",""Cancer"",""Pelican"",""Cowboy"",""Banana"",""Bicycle"",""Lizard"",""Tomato"",""Grenade"",""Monkey"",""Penguin""]",,"181000",,,"2018-10-18 20:53:03","27628"
"A3NPYIGN1MP121","cs_wg_rev_conf_v3_pilot1","3H0W84IWBK3UOJ86OU1BOXTPC57ERW","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","18106",,"0","[""AIRBAG"",""CHICKEN"",""AVOCADO"",""CANCER"",""COWBOY"",""POTATO"",""MOUSE"",""TOMATO"",""VOLCANO"",""ROCKET"",""PELICAN""]",,"181000",,,"2018-10-18 20:54:07","27629"
"A2V3GBDTA9KEU0","cs_wg_rev_conf_v3_pilot1","3YT88D1N08Z5RHFE9QBI4U3EQONK3I","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","88068","0","1","Seagull","potatoe","21000",,,"2018-10-18 20:55:35","27630"
"A2V3GBDTA9KEU0","cs_wg_rev_conf_v3_pilot1","3YT88D1N08Z5RHFE9QBI4U3EQONK3I","small","Memory","1","[11,11,21,2]","1","9","0","27384",,"0","[""Potatoe"",""Donkey"",""Basket"",""Seagull""]",,"181000",,,"2018-10-18 20:59:05","27631"
"A3LA5P3N3KI8U7","cs_wg_rev_conf_v3_pilot1","3TVSS0C0E111LY7PDJ0CAI177U9TW4","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","42094","26","0",,"V","21000",,,"2018-10-18 21:02:26","27632"
"A11Q8U6QTT8KGF","cs_wg_rev_conf_v3_pilot1","3IQ1VMJRYTLLU6V8E8Z31T34L45A9C","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","53942","0","1","lizard",,"21000",,,"2018-10-18 21:04:13","27633"
"A3LA5P3N3KI8U7","cs_wg_rev_conf_v3_pilot1","3TVSS0C0E111LY7PDJ0CAI177U9TW4","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","15848",,"0","[""volcano"",""grenade"",""tomato"",""potato"",""bicycle"",""cancer"",""liquid"",""pelican"","""","""",""""]",,"181000",,,"2018-10-18 21:05:45","27634"
"A11Q8U6QTT8KGF","cs_wg_rev_conf_v3_pilot1","3IQ1VMJRYTLLU6V8E8Z31T34L45A9C","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","28355",,"0","[""tomato"",""house"",""wizard"",""donkey"",""cowboy"",""avocado"",""lizard"",""banana"",""pumpkin"",""volcano"",""""]",,"181000",,,"2018-10-18 21:07:44","27635"
"A12R8A3ORFKMBV","cs_wg_rev_conf_v3_pilot1","3OE22WJIGIPB1EQS1FRGNP5N27ZQUO","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","113726","0","1","Potato",,"21000",,,"2018-10-18 21:09:33","27636"
"A2ML0070M8FDK1","cs_wg_rev_conf_v3_pilot1","3CP1TO84PT2DOGYSY3T7JVF4NKT255","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","32992","0","1","potato",,"21000",,,"2018-10-18 21:11:19","27637"
"A12R8A3ORFKMBV","cs_wg_rev_conf_v3_pilot1","3OE22WJIGIPB1EQS1FRGNP5N27ZQUO","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","26","0","64740",,"0","[""Potato"",""Cricket "",""Pelican"",""Lizard"",""Jaguar"",""Grenade"",""Palace"",""Donkey"",""Cowboy"",""Volcano"",""Airbag""]",,"181000",,,"2018-10-18 21:13:40","27638"
"A2ML0070M8FDK1","cs_wg_rev_conf_v3_pilot1","3CP1TO84PT2DOGYSY3T7JVF4NKT255","large","Memory","1","[11,11,21,2,2,2,2,2,2,2,2]","1","9","0","16981",,"0","[""potato"",""pumpkin"",""volcano"",""blanket"",""seagull"",""wizard"",""avocado"",""airbag"",""banana"","""",""""]",,"181000",,,"2018-10-18 21:14:39","27639"
"A8HWUY7CK2ZZQ","cs_wg_rev_conf_v3_pilot1","36U2A8VAG1067KC2YB48UOZRZPIYK2","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","89569","0","1","BLANKET","BLANKET","21000",,,"2018-10-18 21:16:06","27640"
"A8HWUY7CK2ZZQ","cs_wg_rev_conf_v3_pilot1","36U2A8VAG1067KC2YB48UOZRZPIYK2","small","Memory","1","[11,11,21,2]","1","9","0","78294",,"0","[""penguin"",""blanket"",""avocado"",""can't remember""]",,"181000",,,"2018-10-18 21:20:27","27641"
"A1Y25W1Y7KDE5","cs_wg_rev_conf_v3_pilot1","3RSDURM96AN3LKKS2PT5WTMMFSSEY4","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2]","0","26","1","62104","0","1","acrobat","acrobat volcano ","21000",,,"2018-10-18 21:32:14","27642"
