1,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
3,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
4,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
6,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
8,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
9,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
11,1,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
12,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
14,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
16,13,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
17,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
18,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
19,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
20,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
23,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
25,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
26,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
27,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
28,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
29,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
32,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
34,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
35,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
36,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
39,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
40,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
41,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
42,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
43,1,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
47,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
48,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
49,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
50,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
51,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
52,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
53,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
56,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
59,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
60,13,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
63,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
64,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
68,4,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
69,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
72,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
73,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
74,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
75,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
76,14,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
77,6,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
78,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
79,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
81,4,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
82,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
86,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
87,1,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
88,11,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
91,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
92,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
93,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
94,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
95,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
96,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
98,5,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
101,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
102,3,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
104,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
107,2,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
108,1,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
109,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
110,5,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
111,9,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
112,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
113,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
