"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A10O5YR01H865K","cs_wg_v3_real3","336YQZE83VF3VK2L8LCRY4TZTV75M2","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","0","70","1","77933","FOOTBALL","football Machine umbrella","31000","2017-05-02 21:41:37","4060"
"A1MVMCWGWM4FM9","cs_wg_v3_real3","333U7HK6I9G8YPBTKUHIGOPA2IADJE","test","Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","15","1","49236","bookshelf",,"26000","2017-05-02 21:41:39","4061"
"A1MVMCWGWM4FM9","cs_wg_v3_real3","333U7HK6I9G8YPBTKUHIGOPA2IADJE","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","20","0","48696","traffic",,"21000","2017-05-02 21:42:51","4062"
"A10O5YR01H865K","cs_wg_v3_real3","336YQZE83VF3VK2L8LCRY4TZTV75M2","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","20","1","58121","STRUCTURE","structure umbrella ","16000","2017-05-02 21:42:53","4063"
"A1MVMCWGWM4FM9","cs_wg_v3_real3","333U7HK6I9G8YPBTKUHIGOPA2IADJE","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","2","60","1","50787","football",,"21000","2017-05-02 21:44:05","4064"
"A10O5YR01H865K","cs_wg_v3_real3","336YQZE83VF3VK2L8LCRY4TZTV75M2","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","2","40","1","46748","MACHINE","FOOTBALL MACHINE UMBRELLA BASKETWEDDING","31000","2017-05-02 21:44:13","4065"
"A1MVMCWGWM4FM9","cs_wg_v3_real3","333U7HK6I9G8YPBTKUHIGOPA2IADJE","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","3","40","1","64023","community",,"31000","2017-05-02 21:45:42","4066"
"A1MVMCWGWM4FM9","cs_wg_v3_real3","333U7HK6I9G8YPBTKUHIGOPA2IADJE","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","4","20","1","36480","structure",,"16000","2017-05-02 21:46:36","4067"
"A1K75ALN5NQIJM","cs_wg_v3_real3","3H8DHMCCW9C399HB2FHUH3PNH7ADKD","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","0","20","1","70649",,,"16000","2017-05-02 21:47:08","4068"
"A212LZYYBMG13U","cs_wg_v3_real3","3KWTYT08704JP2K089BCYREATQH5L0","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","75518","machine","umbrella, ","21000","2017-05-02 21:47:36","4069"
