"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","4","30","0","31103","staircase",,"26000","2017-09-26 20:37:03","6718"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","0","70","0","65780",,,"16000","2017-09-26 20:37:22","6719"
"A1DIW2K1J89CMO","cs_wg_v6_pilot2","32ZKVD547FO4YEBK3DYP5RKMMNH3BL","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","7","40","0","45544","helicopter","Structure","31000","2017-09-26 20:37:23","6720"
"A3EJ44J2ZNRMDA","cs_wg_v6_pilot2","3BF51CHDTVBI8ZF9KIQ2P4PDEO20H3","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","51296","traffic",,"21000","2017-09-26 20:37:26","6721"
"A317L37U2W6R4P","cs_wg_v6_pilot2","39O5D9O87TTN8J3QHDUKGBQ448H3CS","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","7","25","1","32441","keyboard",,"26000","2017-09-26 20:37:31","6722"
"A2TVJTQ4VXATE6","cs_wg_v6_pilot2","3OHYZ19UGC6O1TZEGXILYJYRZWSAOS","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","3","25","1","36462","wedding",,"16000","2017-09-26 20:37:55","6723"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","5","20","1","43897","Umbrella",,"16000","2017-09-26 20:38:05","6724"
"A2TVJTQ4VXATE6","cs_wg_v6_pilot2","3OHYZ19UGC6O1TZEGXILYJYRZWSAOS","test","Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","4","30","1","23619","stomach",,"21000","2017-09-26 20:38:41","6725"
"ATGUAXNWCW8NI","cs_wg_v6_pilot2","3KJYX6QCM9CUS6BFBFHCMAVILCIVJU","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","1","30","0","79442","ELEVATE",,"31000","2017-09-26 20:39:14","6726"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","6","70","1","47894",,,"31000","2017-09-26 20:39:26","6727"
