"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"AK1GE19RT3PK6","cs_wg_v10_real1","3KIBXJ1WD5VUD680SOVASX1OUTPOKM",,"Memory","8",NULL,"8","10","1","35925","[""Wedding"",""Structure"",""Bookshelf"",""Keyboard"",""Ladder"",""Helicopter"",""Umbrella"",""Blanket"",""Doorway"","""","""","""","""",""""]","[""1"",""0"",""10"",""10"",""9"",""0"",""1"",""9"",""10"","""","""","""","""",""""]","181000","2018-01-26 19:57:37","13113"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","1","5","1","54538","ladder","ladder
machine
marriage
community","26000","2018-01-26 19:58:36","13114"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","5","7","1","125872","football",,"31000","2018-01-26 19:59:05","13115"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","2","4","1","27322","traffic","community
traffic
marriage
bookshelf
","16000","2018-01-26 19:59:22","13116"
"AS1QMPXIT1EGX","cs_wg_v10_real1","3C6FJU71TQUKAGHESP8A0B8OAUMYU4",,"Memory","8",NULL,"8","10","1","99814","[""helicopter"",""umbrella"",""community"",""bookshelf"",""ladder"",""traffic"",""basket"",""stomach"",""machine"",""keyboard"",""football"",""doorway"",""structure"",""""]","[""10"",""10"",""1"",""9"",""0"",""1"",""0"",""0"",""10"",""9"",""9"",""0"",""1"",""""]","181000","2018-01-26 19:59:25","13117"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","3","4","1","46058","HELICOPTER","HELICOPTER
MACHINE
MARRIAGE
STOMACH
BOOKSHELF
FOOTBALL","31000","2018-01-26 20:00:41","13118"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","6","5","0","73169","bookshelf",,"21000","2018-01-26 20:00:41","13119"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","7","3","1","42333","football",,"21000","2018-01-26 20:01:46","13120"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","7","1","80535","KEYBOARD","BASKET
KEYBOARD
MACHINE
STOMACH","31000","2018-01-26 20:02:34","13121"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","5","3","1","50365","STOMACH","MACHINE
TRAFFIC
STOMACH
HELIC
COMMU","26000","2018-01-26 20:03:53","13122"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","6","5","1","18683","TRAFFIC","TRA
COM
BAS
","16000","2018-01-26 20:04:30","13123"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X",,"Memory","8",NULL,"8","10","1","10633","[""traffic"",""umbrella"",""ladder"",""bookshelf"",""basket"",""football "",""helicopter"",""doorway"",""stomach"",""machine"",""community"",""keyboard"",""wedding"",""""]","[""10"",""10"",""10"",""9"",""10"",""0"",""1"",""0"",""1"",""0"",""1"",""10"",""9"",""""]","181000","2018-01-26 20:05:00","13124"
"A2GV9WSNSPX53","cs_wg_v10_real1","3F6HPJW4JD171ZDCU4GG9VSGGV2W2K",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","7","6","1","33505","FOOTBALL","STOMACH
HELICOPTER
TRAFFIC
COMMUNITY
FOOTBALL","21000","2018-01-26 20:05:26","13125"
"A3LVDUYETYTVO0","cs_wg_v10_real1","37UEWGM5HT9V4IEUC66WHDAUWA9R1V",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","0","3","1","40165","community",,"21000","2018-01-26 20:06:00","13126"
"A3LVDUYETYTVO0","cs_wg_v10_real1","37UEWGM5HT9V4IEUC66WHDAUWA9R1V",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","4","1","49765","stomach",,"16000","2018-01-26 20:07:08","13127"
