"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"A1PTH9KTRO06EG","cs_wg_v2_pilot3","3HL8HNGX452GQXCGPOLVFUES26NF9L","memory","List as many words as you can.","0","0","0","1000","1",NULL,"football, beautiful, basket, structure, mountain, machine, together, military, partner, ","129412","2017-02-13 20:02:58","250"
"A1C59M3HPCO503","cs_wg_v2_pilot3","3WLEIWSYHOIP49INZ5UG8SIRCFQ2HE","memory","List as many words as you can.","0","0","0","1000","1",NULL,"CHOCOLATE, BASKET, STRUCTURE, WEDDING, MILITARY, LADDER, OPPOSITE, TOGETHER, NEIGHBOR, BEAUTIFUL, POSITION,","155862","2017-02-13 20:08:21","251"
"A1JDDBMSI4TBXN","cs_wg_v2_pilot3","36TFCYNS44BQ5PLKNUF9YICNPORHX4","memory","List as many words as you can.","0","0","0","1000","1",NULL,"mountain, neighbor, border, basket, question, beautiful, elevate, together, wedding, ladder, chocolate, ","121366","2017-02-13 20:18:13","252"
"A2G7N0X0PNX0EE","cs_wg_v2_pilot3","3U5JL4WY5KAWTDXP8NVQ4T3JKJ54X5","memory","List as many words as you can.","0","0","0","1000","1",NULL,"question, machine, beautiful, chocolate, military, understand, opposite, ladder, yesterday, neighbor, position, decrease, basket, partner, wedding, together, structure, football, stomach, together,","120973","2017-02-13 20:20:21","253"
"A1FSPD1LIOXCN1","cs_wg_v2_pilot3","3CN4LGXD5XPLTINZDJHSN7ASMPZ4YB","memory","List as many words as you can.","0","0","0","1000","1",NULL,"mountain, basket, neighbor, structure, football, position, beautiful, military, stomach, together, wedding, opposite, ladder, question, partner, yesterday, chocolate, machine","123497","2017-02-13 20:35:30","254"
"A1F9KLZGHE9DTA","cs_wg_v2_pilot3","3YZ8UPK3VTN77DG9WXQL3KG3IE5CUY","memory","List as many words as you can.","0","0","0","1000","1",NULL,"machine, decrease, mountain, beautiful, opposite, partner, wedding, military, ladder, chocolate, ","122193","2017-02-13 20:41:14","255"
"A3UAO2LYUPO7L6","cs_wg_v2_pilot3","31T4R4OBOSH5924DJPXATS2JA377CQ","memory","List as many words as you can.","0","0","0","100","0",NULL,"BASKET, BEAUTIFUL. MOUNTAIN, POSITIVE, NEIGHBORHOOD, UNDERSTAND,","123384","2017-02-13 20:50:40","256"
"A3FR7HHX2IS2FG","cs_wg_v2_pilot3","35L9RVQFCOJYOLRPIP4MEBDJV6AHUC","memory","List as many words as you can.","0","0","0","1000","1",NULL,"structure
position
understand","149467","2017-02-13 20:55:41","257"
"AOGT0KZDUX8CC","cs_wg_v2_pilot3","30BXRYBRP4YBGPGUDPJNWZYGGMLHWB","memory","List as many words as you can.","0","0","0","1000","1",NULL,"football, structure, machine, wedding, stomach, mountain, neighbor, opposite, decrease, partner, ","121215","2017-02-13 20:57:04","258"
"A38XQOQY1T2BXE
","cs_wg_v2_pilot3","33M4IA01QG23UJZNJZR3CMETCXOXRG","memory","List as many words as you can.","0","0","0","1000","1",NULL,"Question, mountain, military, wedding, understand, structure, neighbor, together, partner, ladder, yesterday, chocolate, position, opposite, ","153960","2017-02-13 20:59:15","259"
"A230VUDYOCRZ4N","cs_wg_v2_pilot3","3BWI6RSP7GAK60ORFG35JG2MVFK7EJ","memory","List as many words as you can.","0","0","0","1000","1",NULL,"basket, together, wedding, chocolate, ladder, structure, decrease, partner, opposite, military, question, mountain, ","124381","2017-02-13 21:03:05","260"
"APITQRRX2PADB","cs_wg_v2_pilot3","3QEMNNSB2X0FEUARJLSLDYK1V3J7DQ","memory","List as many words as you can.","0","0","0","1000","1",NULL,"together, machine, beautiful, neighbor, position, chocolate, opposite, decrease, stomach,partner, military, understand, question, mountain, ladder, structure, football, wedding, ","125268","2017-02-13 21:06:22","261"
"A1WRYUFOYFF8QO","cs_wg_v2_pilot3","39JEC7537U27KS591N0QZ6IMWLECVN","memory","List as many words as you can.","0","0","0","1000","1",NULL,"Large, tire, mountain, understand, opposite, structure","220179","2017-02-13 21:26:49","262"
"AY7WPVKHVNBLG","cs_wg_v2_pilot3","3XXU1SWE8MW3YC7VECGA8I282MGA0R","memory","List as many words as you can.","0","0","0","1000","1",NULL,"partner,military,chocolate,decrease,football,opposite,
","123572","2017-02-13 21:28:55","263"
"A1XSTWO3EUJ937","cs_wg_v2_pilot3","3OB0CAO74HQF5UBUSQ1BHWJWRULHYA","memory","List as many words as you can.","0","0","0","1000","1",NULL,"Mountain, machine, opposite, chocolate, football, military, partner, beautiful,  ","123925","2017-02-13 21:52:42","264"
"ANK8K5WTHJ61C","cs_wg_v2_pilot3","30LSNF239UWP04T75NC184J6CS52I7","memory","List as many words as you can.","0","0","0","1000","1",NULL,"YESTERDAY, TOGETHER, BEAUTIFUL, CHOCOLATE, WEDDING, NEIGHBOR, MILITARY, BASKET, LADDER, POSITION, DECREASE, STOMACH, OPPOSITE, ","122626","2017-02-13 22:18:42","265"
"AGMJL8K9OMU64","cs_wg_v2_pilot3","3QEMNNSB2X0FEUARJLSLDYK1V3J7DQ","memory","List as many words as you can.","0","0","0","1000","1",NULL,"Military, question, structure, stomach, partner, beautiful, partner, opposite, chocolate, wedding, football, ladder, yesterday, decrease, mountain, together, ","122046","2017-02-13 22:27:39","266"
"A2OVX9UW5WANQE","cs_wg_v2_pilot3","3TS1AR6UQQFCCEONARNB1YNM7GZ7F1","memory","List as many words as you can.","0","0","0","1000","1",NULL,"wedding, together, basket, ladder, opposite, structure, mountain, chocolate, stomach, partner, neighbor, military, ","124249","2017-02-13 22:59:25","267"
"A1XUZFDVKP95VC","cs_wg_v2_pilot3","31LM9EDVOLTHK1269OVLCT1404KNJY","memory","List as many words as you can.","0","0","0","1000","1",NULL,"military, chocolate, question, opposite, beautiiful, structure, mountain, ","182155","2017-02-14 01:44:26","268"
