"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2IFMHXWL5GOWD","cs_wg_full_v2_pilot2","3RGU30DZTA9B2JH6XNGLZEC7KR8JMD","memory","Memory","1","[]","1","30","1","55714",,"0","[""throne"",""friend"",""walrus"",""coffin"",""silver"",""liquid"",""dollar"",""abdomen"",""pumpkin"","""","""",""""]","[""1"",""2"",""4"",""5"",""6"",""7"",""10"",""9"",""11"","""","""",""""]","181000",,,"2018-06-30 18:12:23","20897"
"A2MCRVU8I9VNHG","cs_wg_full_v2_pilot2","30H4UDGLT2J7OUK4S0L5WAYJTQGMPI","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","32852","0","1","canvas",,"16000",,,"2018-06-30 18:18:59","20898"
"A2MCRVU8I9VNHG","cs_wg_full_v2_pilot2","30H4UDGLT2J7OUK4S0L5WAYJTQGMPI","memory","Memory","1","[]","1","30","1","15385",,"0","[""canvas"",""firefly"",""bagpipe"",""magnet"",""priest"",""spiral"",""fireman"",""monkey"",""costume"",""throne"",""jungle"",""pillar""]","[""1"",""4"",""3"",""6"",""11"",""10"",""4"",""7"",""9"",""10"",""8"",""5""]","181000",,,"2018-06-30 18:22:17","20899"
"A35CRYBHUZZZHO","cs_wg_full_v2_pilot2","34Z02EIMISE8D864KC7R3NS3FQ0T0J","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","96545","0","1","spatula","spatula
","16000",,,"2018-06-30 18:32:03","20901"
"A2SL3CCCE3WYB4","cs_wg_full_v2_pilot2","333U7HK6I9G8YPBTKUHIGOPDBDIDJR","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","73448","0","1","Trivia",,"16000",,,"2018-06-30 18:35:11","20903"
"A2SL3CCCE3WYB4","cs_wg_full_v2_pilot2","333U7HK6I9G8YPBTKUHIGOPDBDIDJR","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""spatula:true"",""dagger:false"",""peacock:false"",""firefly:false"",""chicken:false"",""camera:false"",""fireman:false"",""walrus:false"",""science:false"",""pillar:false"",""trivia:false"",""bikini:false""]",,"19991",,,"2018-06-30 18:35:32","20904"
"A35CRYBHUZZZHO","cs_wg_full_v2_pilot2","34Z02EIMISE8D864KC7R3NS3FQ0T0J","memory","Memory","1","[]","1","30","1","27319",,"0","[""smoker"",""church"",""spatula"",""tennis"",""bikini"",""parent"",""budget"",""hermit"",""silver"",""traffic"",""javelin"",""almond""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7"",""8"",""9"",""10"",""11"",""12""]","181000",,,"2018-06-30 18:35:33","20905"
"A2I9O95L7PEA7M","cs_wg_full_v2_pilot2","3CCZ6YKWR7KOO0JRJC8MTINI2R895K","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","91566","26","0","kinder","almond","16000",,,"2018-06-30 18:38:55","20906"
"A2I9O95L7PEA7M","cs_wg_full_v2_pilot2","3CCZ6YKWR7KOO0JRJC8MTINI2R895K","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:false"",""tongue:false"",""almond:true"",""muffin:false"",""bucket:false"",""bakery:false"",""fireman:false"",""chorus:false"",""cabinet:false"",""pillar:false"",""beaver:false"",""bagpipe:false""]",,"7208",,,"2018-06-30 18:39:03","20907"
"A114JRUBJ5IN7D","cs_wg_full_v2_pilot2","3MX2NQ3YC9VEPW1PMSE09L909V45X6","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","29227","0","1","peacock",,"16000",,,"2018-06-30 19:23:23","20912"
"A114JRUBJ5IN7D","cs_wg_full_v2_pilot2","3MX2NQ3YC9VEPW1PMSE09L909V45X6","memory","Memory","1","[]","1","30","1","19701",,"0","[""peacock"",""battery"",""cannon"",""animal"",""sunburn"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember""]","[""12"",""11"",""2"",""1"",""4"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember"",""can't remember""]","181000",,,"2018-06-30 19:26:46","20913"
