AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Actual Completion Code,,,
A11S8IAAVDXCUS,3LO69W1SU3EH5Z9KP5U32O5Z8TOLG4,2997,3/21/2017 6:00:46 PM,3/21/2017 6:50:44 PM,Approved,4.51,0.00,GFLS23ADX,
A1GXFMAC759VRM,34YB12FSQYP1BHR5PHVI21KO8YEGM1,3221,3/21/2017 6:01:50 PM,3/21/2017 6:55:32 PM,Approved,4.51,0.00,GFLS23ADX,
A3P5WIW36V70AI,34S9DKFK73Q7FQX5VOWOMGGSIKENY6,6614,3/21/2017 6:00:42 PM,3/21/2017 7:50:57 PM,Approved,4.51,0.00,GFLS23ADX,
A32QE8R5YBNXVD,3WOKGM4L71HS0G1WOVLS9DMDWH4O0L,2867,3/21/2017 6:00:40 PM,3/21/2017 6:48:27 PM,Approved,4.51,0.00,GFLS23ADX,
AJFVK3O1D7SPE,3IFS6Q0HJIKI53A5Z2R7ZMWAF0OIS7,2855,3/21/2017 6:45:53 PM,3/21/2017 7:33:29 PM,Approved,4.51,0.00,GFLS23ADX,
ATZSD4TTNDO5V,3JV9LGBJWTFPBKCH2XAVU59T3YTGOG,3107,3/21/2017 6:01:04 PM,3/21/2017 6:52:52 PM,Approved,4.51,0.00,GFLS23ADX,
A2R8IV2PWFTY00,3RYC5T2D73UYLAXWX8HMI9SQFC0PR2,4763,3/21/2017 6:33:36 PM,3/21/2017 7:53:00 PM,Approved,4.51,0.00,GFLS23ADX,
A3Q8C7JAAX3DGB,3HUTX6F6VUOZWQ4A3IP6S1FSTFOO25,2692,3/21/2017 6:09:37 PM,3/21/2017 6:54:29 PM,Approved,4.51,0.00,GFLS23ADX,
A1ALBJU1XOKYFH,3VA45EW49NOS75MEKEPSNI5N19AO1O,2929,3/21/2017 6:00:42 PM,3/21/2017 6:49:31 PM,Approved,4.51,0.00,GFLS23ADX,
AKNYT1NTK2UFK,3JRJSWSMQHM25HN4D40F6ZQ6VRIE32,8544,3/21/2017 6:00:42 PM,3/21/2017 8:23:07 PM,Approved,4.51,0.00,GFLS23ADX,
A2H5V1V8QIY8Y7,3X65QVEQI0O4ONTFNJYKCXKKA1WLCU,19238,3/21/2017 8:45:38 PM,3/22/2017 2:06:17 AM,Approved,4.51,0.00,GFLS23ADX,
A1DIGREVLNOXT3,3WQQ9FUS6AVQZBHQFUTLW8SW8GXB8R,5599,3/21/2017 6:00:42 PM,3/21/2017 7:34:02 PM,Approved,4.51,0.00,GFLS23ADX,
A29VV8U7XTHC3B,3VBEN272MK049C4A9ER4EAJU0NWGSD,2402,3/21/2017 6:00:43 PM,3/21/2017 6:40:45 PM,Approved,4.51,0.00,GFLS23ADX,
A1DWDCD4CHM68O,3IXQG4FA2TZQDG00KMZZW4N7SMFB9G,17418,3/21/2017 6:00:42 PM,3/21/2017 10:51:01 PM,Approved,4.51,0.00,GFLS23ADX,
A1HWTTN3JEUNZY,3LOZAJ85YDEMQZI249C2BE6L5JT2XO,5105,3/21/2017 6:00:40 PM,3/21/2017 7:25:45 PM,Approved,4.51,0.00,GFLS23ADX,
A1M682B2WUSYJP,3Y54SXRO1LMOTUIKIJLBSUG7BEPUTG,5586,3/21/2017 6:00:42 PM,3/21/2017 7:33:49 PM,Approved,4.51,0.00,GFLS23ADX,
A33QUS4NRVVMTN,3Z2R0DQ0JHFDKZRL94MANPLEPDIE2R,2443,3/21/2017 6:07:45 PM,3/21/2017 6:48:28 PM,Approved,4.51,0.00,GFLS23ADX,
A23W1E87NKY6D1,3HFNH7HEMHFSWWPXHA2ZJA4TIZBGQO,3542,3/21/2017 6:00:41 PM,3/21/2017 6:59:44 PM,Approved,4.51,0.00,GFLS23ADX,

