"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"hotchack, mickered, flemmering, screep, plibbered, poats, chaxed, thocky, dunched, murrads, vated, cleepers, jaddeared, roaking, zaley, nardly, blicket, glundle, cheedle, fipping","214024","2017-02-08 20:26:16","210"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"POATS, VATED, HOTCHACK, ZALEY, DUNCHED, MICHERED, ZALEY, MURRADS, WOOKED, NARDLEY, WOOKED, JADDEARED, SCREED,","122653","2017-02-08 20:38:45","211"
"A1HWB810RJBV2K","cs_wg_v1_pilot5","34YB12FSQYP1BHR5PHVI21KO2UVMGA","memory","List as many fake words as you can.","0","0","0","$1.20","0",NULL,"JADDEARED,WOOKED,SCREEP,POATS,GLUNDLE FLEMMERING, CLEEPERS, VATED, CHEEDLE,THOCKY,CHAXED, BLICKET, CLEEPERS, MURRADS, PLIBBERED, DUNCHED,MICKERED,HOTCHACK, ROAKING, NARDLEY, FLIPPING, ROATES,","121444","2017-02-08 20:41:30","212"
"A39NH60EFPZ7IE","cs_wg_v1_pilot5","3I7DHKZYGN1XPAA4MY8E3E9QFK55F4","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"CHEEDLE, GLUNDLE, ROAKING, DUNCHED, NARDLY, ZEALY, FLEMMERING, FIPPING, PLIBBING, JADDEARED, WOOKED","122027","2017-02-08 20:48:26","213"
"A9692Y27LBXT9","cs_wg_v1_pilot5","30ZX6P7VF8WLVFDDN5X1K5Y6OHV2J3","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"ZALEY, MICKERED, GLUNDLE, BLICKET, WOOKED, JADDEARED, DUNCHED, CHEEDLE, VATED, ROAKING, FLEMMERING CLEEPERS, THOCKY, MURRADS, SCREEP, FIPPING, HOTCHAK,THOCKEY POATS, NARDLY, PLIBBERED, ","250920","2017-02-08 21:03:19","214"
"AKLV0WIZZ356X","cs_wg_v1_pilot5","3JAOYWH7VI52QPMCBZOTA7JCYCA9L4","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"BLICKET, FIDDNLE, GLIDDLE, GINDLE","122202","2017-02-08 21:22:19","215"
"A2WCDQDLMC6J72","cs_wg_v1_pilot5","36V4Q8R5ZK1SO6LJSD0UWFOQ8G2QM5","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"blicket,screep,creepers,murrads,thockey,hockhad,fleemers,vated,FLEMMERING,","124719","2017-02-08 21:22:27","216"
"A2P4UAMRGH6INU","cs_wg_v1_pilot5","30BUDKLTXDW5JWA8RNO8LWOQ3JQ5EM","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"cheedle,jaddeared,chaxed,blicket,mickered,nardly,screep,flemmered,murrad,wooked,

","126518","2017-02-08 21:29:30","217"
"A24DYXCGZQUZUQ","cs_wg_v1_pilot5","38F5OAUN5NDWQAFT5HBB4JZZM5DH7T","memory","List as many fake words as you can.","0","0","0","$0.60","0",NULL,"glundle, blicket, hotchack, roaking, zaley, cleepers, nardly, wooked, jammering, jaddeared","123501","2017-02-08 21:41:34","218"
"A3TAJQPYQE1GU4","cs_wg_v1_pilot5","3E4GGUZ1T8SG6ZJV5QXDLKYJ36V2K2","memory","List as many fake words as you can.","0","0","0","$2.00","1",NULL,"Fleemering, Plibbered, Glundle, Fipping, Mickered, Screep, Zaley, Blicket, Chaxed, Nardley, Murrads, Thocky, Poats, Jaddeared, Vated, Dunched, Hotchack, Cheedle, Wooked, Roaking, Cleepers","126117","2017-02-08 22:04:33","219"
