subject,trial,choice_real_ind,s1_value,rank_value
35,6,7,0,14
35,7,9,10,13
35,8,3,10,14
36,1,7,10,9
36,2,1,10,13
36,3,1,10,14
36,4,12,0,9
36,5,6,10,10
36,6,6,10,9
36,7,11,10,7
36,8,10,0,13
37,1,1,10,14
37,2,10,0,10
37,3,7,10,13
37,4,10,0,12
37,5,6,10,10
37,6,1,10,11
37,7,2,0,2
37,8,3,10,14
38,1,13,10,7
38,2,9,10,12
38,3,1,0,14
38,4,8,10,4
38,5,2,0,14
38,6,7,10,14
38,7,4,0,14
38,8,10,10,13
39,1,3,10,12
39,2,14,0,9
39,3,7,10,13
39,4,14,0,14
39,5,2,10,14
39,6,6,0,9
39,7,9,10,13
39,8,12,10,12
40,1,3,10,12
40,2,14,0,9
40,3,12,10,10
40,4,8,0,4
40,5,4,10,6
40,6,6,0,9
40,7,1,0,3
40,8,2,0,8
41,1,1,10,14
41,2,7,10,14
41,3,1,10,14
41,4,10,0,12
41,5,2,0,14
41,6,7,10,14
41,7,5,10,12
41,8,1,10,11
42,1,6,10,8
42,2,3,10,8
42,3,12,10,10
42,4,12,10,9
42,5,3,10,11
42,6,6,10,9
42,7,4,0,14
42,8,3,10,14
43,1,8,0,10
43,2,7,0,14
43,3,7,0,13
43,4,2,0,6
43,5,14,10,8
43,6,9,10,1
43,7,11,10,7
43,8,10,0,13
44,1,9,10,4
44,2,4,10,4
44,3,9,10,7
44,4,10,10,12
44,5,6,10,10
44,6,1,10,11
44,7,10,10,5
44,8,10,10,13
45,1,1,10,14
45,2,1,10,13
45,3,7,10,13
45,4,14,10,14
45,5,7,10,4
45,6,8,10,12
45,7,12,10,11
45,8,12,10,12
46,1,12,0,6
46,2,9,10,12
46,3,5,10,4
46,4,10,0,12
46,5,11,0,5
46,6,3,10,8
46,7,9,10,13
46,8,5,10,6
47,1,13,10,7
47,2,11,10,6
47,3,11,10,11
47,4,14,10,14
47,5,8,10,12
47,6,13,10,13
47,7,5,0,12
47,8,1,10,11
48,1,10,0,13
48,2,7,0,14
48,3,13,10,12
48,4,14,10,14
48,5,12,0,13
48,6,7,0,14
48,7,4,0,14
48,8,3,10,14
49,1,10,0,13
49,2,3,0,8
49,3,11,0,11
49,4,12,10,9
49,5,2,0,14
49,6,1,10,11
49,7,5,0,12
49,8,8,10,9
50,1,11,10,11
50,2,9,0,12
50,3,11,10,11
50,4,1,0,13
50,5,8,0,12
50,6,2,0,7
50,7,4,10,14
50,8,1,0,11
51,1,10,0,13
51,2,12,10,7
51,3,14,10,8
51,4,4,10,5
51,5,3,10,11
51,6,14,10,4
51,7,12,10,11
51,8,10,0,13
52,1,8,10,10
52,2,11,10,6
52,3,4,10,5
52,4,10,10,12
52,5,12,10,13
52,6,10,10,6
52,7,10,10,5
52,8,4,10,5
53,1,3,0,12
53,2,2,10,11
53,3,11,10,11
53,4,11,10,8
53,5,2,10,14
53,6,7,10,14
53,7,9,10,13
53,8,2,10,8
54,1,11,10,11
54,2,2,10,11
54,3,13,10,12
54,4,13,10,11
54,5,6,10,10
54,6,13,10,13
54,7,14,10,6
54,8,1,10,11
55,1,1,10,14
55,2,7,10,14
55,3,13,10,12
55,4,13,10,11
55,5,3,0,11
55,6,2,0,7
55,7,3,0,9
55,8,8,0,9
56,1,10,0,13
56,2,9,0,12
56,3,14,10,8
56,4,4,0,5
56,5,12,10,13
56,6,8,10,12
56,7,12,10,11
56,8,3,0,14
57,1,5,10,2
57,2,1,10,13
57,3,10,10,6
57,4,10,10,12
57,5,14,0,8
57,6,6,10,9
57,7,5,10,12
57,8,8,0,9
58,1,8,0,10
58,2,3,10,8
58,3,14,0,8
58,4,14,0,14
58,5,1,10,9
58,6,7,0,14
58,7,5,0,12
58,8,3,10,14
59,1,13,0,7
59,2,7,10,14
59,3,13,0,12
59,4,7,10,10
59,5,14,10,8
59,6,1,10,11
59,7,3,10,9
59,8,1,10,11
60,1,10,10,13
60,2,1,0,13
60,3,13,0,12
60,4,10,10,12
60,5,2,0,14
60,6,4,0,10
60,7,10,10,5
60,8,6,0,4
61,1,8,10,10
61,2,2,10,11
61,3,9,10,7
61,4,14,0,14
61,5,2,10,14
61,6,6,0,9
61,7,7,10,8
61,8,3,10,14
62,1,3,0,12
62,2,7,0,14
62,3,11,10,11
62,4,14,0,14
62,5,12,10,13
62,6,8,10,12
62,7,9,10,13
62,8,12,10,12
63,1,10,0,13
63,2,10,0,10
63,3,1,0,14
63,4,14,10,14
63,5,12,10,13
63,6,8,0,12
63,7,12,10,11
63,8,6,10,4
64,1,10,10,13
64,2,1,10,13
64,3,13,10,12
64,4,13,10,11
64,5,8,10,12
64,6,13,10,13
64,7,12,10,11
64,8,10,10,13
65,1,3,0,12
65,2,6,0,3
65,3,13,10,12
65,4,14,10,14
65,5,2,10,14
65,6,6,0,9
65,7,14,10,6
65,8,10,10,13
66,1,8,0,10
66,2,7,10,14
66,3,3,0,3
66,4,1,10,13
66,5,12,10,13
66,6,7,10,14
66,7,9,10,13
66,8,11,10,3
67,1,8,10,10
67,2,3,10,8
67,3,13,0,12
67,4,11,10,8
67,5,2,10,14
67,6,1,0,11
67,7,9,10,13
67,8,1,0,11
68,1,7,10,9
68,2,6,10,3
68,3,3,0,3
68,4,7,10,10
68,5,14,10,8
68,6,9,0,1
68,7,12,0,11
68,8,7,10,7
69,1,3,0,12
69,2,9,10,12
69,3,14,0,8
69,4,13,0,11
69,5,1,10,9
69,6,7,0,14
69,7,8,10,10
69,8,13,0,10
70,1,12,10,6
70,2,8,0,5
70,3,1,10,14
70,4,14,10,14
70,5,3,0,11
70,6,12,10,5
70,7,12,10,11
70,8,3,0,14
71,1,8,0,10
71,2,9,10,12
71,3,1,10,14
71,4,1,10,13
71,5,2,0,14
71,6,13,0,13
71,7,5,0,12
71,8,2,0,8
72,1,2,10,3
72,2,7,0,14
72,3,11,10,11
72,4,6,10,7
72,5,3,10,11
72,6,8,10,12
72,7,4,0,14
72,8,7,0,7
73,1,1,0,14
73,2,9,10,12
73,3,14,10,8
73,4,8,0,4
73,5,2,10,14
73,6,9,10,1
73,7,4,0,14
73,8,12,10,12
74,1,3,10,12
74,2,12,10,7
74,3,12,10,10
74,4,6,10,7
74,5,8,0,12
74,6,7,0,14
74,7,9,0,13
74,8,4,10,5
75,1,1,0,14
75,2,2,10,11
75,3,4,0,5
75,4,13,10,11
75,5,13,10,7
75,6,13,10,13
75,7,4,0,14
75,8,13,10,10
76,1,14,10,1
76,2,3,0,8
76,3,12,0,10
76,4,14,10,14
76,5,2,0,14
76,6,2,0,7
76,7,1,10,3
76,8,10,10,13
77,1,9,10,4
77,2,11,10,6
77,3,1,0,14
77,4,8,10,4
77,5,12,0,13
77,6,6,10,9
77,7,8,10,10
77,8,3,10,14
78,1,6,0,8
78,2,3,10,8
78,3,14,10,8
78,4,14,10,14
78,5,2,0,14
78,6,12,10,5
78,7,4,10,14
78,8,3,10,14
79,1,11,10,11
79,2,14,0,9
79,3,4,0,5
79,4,5,10,3
79,5,13,0,7
79,6,14,0,4
79,7,12,0,11
79,8,2,0,8
80,1,1,0,14
80,2,4,10,4
80,3,13,10,12
80,4,3,10,1
80,5,12,10,13
80,6,14,10,4
80,7,4,10,14
80,8,3,10,14
81,1,7,10,9
81,2,1,10,13
81,3,7,10,13
81,4,13,10,11
81,5,4,10,6
81,6,1,10,11
81,7,4,10,14
81,8,4,10,5
82,1,1,10,14
82,2,8,10,5
82,3,1,10,14
82,4,14,0,14
82,5,7,10,4
82,6,8,10,12
82,7,11,10,7
82,8,9,0,1
83,1,11,0,11
83,2,8,10,5
83,3,11,0,11
83,4,14,10,14
83,5,2,0,14
83,6,3,0,8
83,7,8,10,10
83,8,7,10,7
84,1,1,10,14
84,2,2,10,11
84,3,14,10,8
84,4,12,10,9
84,5,2,10,14
84,6,10,10,6
84,7,3,10,9
84,8,1,10,11
85,1,10,0,13
85,2,9,0,12
85,3,1,0,14
85,4,11,0,8
85,5,2,10,14
85,6,8,10,12
85,7,3,10,9
85,8,3,10,14
86,1,13,10,7
86,2,1,0,13
86,3,9,10,7
86,4,13,10,11
86,5,10,0,3
86,6,6,10,9
86,7,9,10,13
86,8,3,10,14
87,1,9,0,4
87,2,3,0,8
87,3,3,0,3
87,4,1,10,13
87,5,2,10,14
87,6,4,0,10
87,7,4,0,14
87,8,5,0,6
88,1,7,10,9
88,2,12,10,7
88,3,12,10,10
88,4,13,10,11
88,5,12,10,13
88,6,8,10,12
88,7,12,10,11
88,8,13,10,10
89,1,10,0,13
89,2,12,10,7
89,3,6,10,9
89,4,1,10,13
89,5,3,10,11
89,6,7,10,14
89,7,8,10,10
89,8,3,10,14
90,1,10,10,13
90,2,8,10,5
90,3,7,0,13
90,4,10,10,12
90,5,3,0,11
90,6,7,0,14
90,7,9,0,13
90,8,4,10,5
91,1,11,10,11
91,2,4,0,4
91,3,13,10,12
91,4,8,10,4
91,5,12,10,13
91,6,7,10,14
91,7,12,10,11
91,8,8,10,9
92,1,3,10,12
92,2,1,0,13
92,3,13,0,12
92,4,14,10,14
92,5,12,10,13
92,6,8,0,12
92,7,9,0,13
