subject,trial,choice_real_ind,s1_value,rank_value
1,1,8,10,10
1,2,7,10,14
1,3,7,10,13
1,4,14,0,14
1,5,8,10,12
1,6,7,10,14
1,7,9,0,13
1,8,8,10,9
2,1,1,0,14
2,2,1,0,13
2,3,11,0,11
2,4,13,10,11
2,5,2,10,14
2,6,8,10,12
2,7,4,10,14
2,8,3,10,14
3,1,3,0,12
3,2,9,10,12
3,3,13,10,12
3,4,14,10,14
3,5,8,10,12
3,6,7,0,14
3,7,7,0,8
3,8,10,0,13
4,1,1,10,14
4,2,7,10,14
4,3,1,10,14
4,4,14,10,14
4,5,2,0,14
4,6,1,10,11
4,7,5,0,12
4,8,3,0,14
5,1,3,10,12
5,2,1,0,13
5,3,13,0,12
5,4,14,10,14
5,5,8,10,12
5,6,1,0,11
5,7,5,0,12
5,8,10,10,13
6,1,1,10,14
6,2,6,0,3
6,3,11,10,11
6,4,10,10,12
6,5,6,0,10
6,6,7,10,14
6,7,11,10,7
6,8,8,0,9
7,1,6,10,8
7,2,7,0,14
7,3,1,0,14
7,4,10,0,12
7,5,2,0,14
7,6,8,0,12
7,7,4,10,14
7,8,1,0,11
8,1,1,0,14
8,2,12,0,7
8,3,1,0,14
8,4,14,10,14
8,5,8,0,12
8,6,3,0,8
8,7,14,10,6
8,8,13,0,10
9,1,9,10,4
9,2,7,10,14
9,3,7,10,13
9,4,10,10,12
9,5,13,10,7
9,6,8,10,12
9,7,5,10,12
9,8,5,10,6
10,1,10,10,13
10,2,1,10,13
10,3,4,0,5
10,4,14,10,14
10,5,4,0,6
10,6,14,10,4
10,7,5,10,12
10,8,7,0,7
11,1,10,10,13
11,2,7,0,14
11,3,11,10,11
11,4,2,0,6
11,5,2,0,14
11,6,2,0,7
11,7,4,10,14
11,8,3,0,14
12,1,3,0,12
12,2,7,0,14
12,3,12,10,10
12,4,11,10,8
12,5,2,10,14
12,6,13,0,13
12,7,9,10,13
12,8,3,0,14
13,1,10,10,13
13,2,3,10,8
13,3,13,10,12
13,4,1,0,13
13,5,6,0,10
13,6,3,10,8
13,7,7,10,8
13,8,11,10,3
14,1,8,0,10
14,2,3,0,8
14,3,7,10,13
14,4,13,0,11
14,5,3,0,11
14,6,8,0,12
14,7,5,0,12
14,8,7,10,7
15,1,1,10,14
15,2,10,10,10
15,3,1,10,14
15,4,10,10,12
15,5,1,10,9
15,6,7,0,14
15,7,4,10,14
15,8,13,0,10
16,1,8,10,10
16,2,4,0,4
16,3,1,10,14
16,4,14,0,14
16,5,1,10,9
16,6,4,0,10
16,7,5,0,12
16,8,3,10,14
17,1,10,10,13
17,2,7,10,14
17,3,10,10,6
17,4,10,10,12
17,5,12,0,13
17,6,7,10,14
17,7,4,10,14
17,8,8,0,9
18,1,11,10,11
18,2,11,10,6
18,3,7,10,13
18,4,13,0,11
18,5,12,10,13
18,6,1,10,11
18,7,7,10,8
18,8,3,0,14
19,1,1,10,14
19,2,3,10,8
19,3,1,10,14
19,4,1,10,13
19,5,2,10,14
19,6,7,10,14
19,7,4,0,14
19,8,10,0,13
20,1,4,0,5
20,2,1,10,13
20,3,1,10,14
20,4,1,10,13
20,5,12,0,13
20,6,8,0,12
20,7,4,0,14
20,8,3,10,14
21,1,3,0,12
21,2,2,10,11
21,3,11,0,11
21,4,1,10,13
21,5,3,0,11
21,6,7,0,14
21,7,5,0,12
21,8,8,10,9
22,1,3,10,12
22,2,7,10,14
22,3,11,10,11
22,4,14,10,14
22,5,2,0,14
22,6,8,0,12
22,7,8,0,10
22,8,10,10,13
23,1,3,10,12
23,2,9,0,12
23,3,12,0,10
23,4,11,10,8
23,5,2,10,14
23,6,7,10,14
23,7,5,10,12
23,8,10,10,13
24,1,7,10,9
24,2,4,10,4
24,3,5,10,4
24,4,1,0,13
24,5,14,10,8
24,6,7,10,14
24,7,8,10,10
24,8,13,0,10
25,1,12,10,6
25,2,7,0,14
25,3,11,10,11
25,4,10,0,12
25,5,12,10,13
25,6,8,10,12
25,7,7,0,8
25,8,8,10,9
26,1,3,0,12
26,2,7,10,14
26,3,9,0,7
26,4,13,0,11
26,5,6,10,10
26,6,13,0,13
26,7,11,10,7
26,8,8,0,9
27,1,1,10,14
27,2,9,10,12
27,3,13,0,12
27,4,1,10,13
27,5,8,0,12
27,6,6,10,9
27,7,4,0,14
27,8,3,0,14
28,1,3,10,12
28,2,14,10,9
28,3,1,0,14
28,4,8,0,4
28,5,7,10,4
28,6,7,10,14
28,7,4,0,14
28,8,3,10,14
29,1,1,10,14
29,2,1,10,13
29,3,1,10,14
29,4,1,10,13
29,5,3,10,11
29,6,13,0,13
29,7,11,10,7
29,8,3,10,14
30,1,8,10,10
30,2,5,10,1
30,3,3,10,3
30,4,9,10,2
30,5,2,10,14
30,6,8,10,12
30,7,4,0,14
30,8,14,10,2
31,1,9,10,4
31,2,7,10,14
31,3,7,10,13
31,4,5,0,3
31,5,14,10,8
31,6,8,0,12
31,7,4,10,14
31,8,3,10,14
32,1,3,0,12
32,2,14,0,9
32,3,13,10,12
32,4,10,10,12
32,5,3,0,11
32,6,7,0,14
32,7,9,0,13
32,8,7,0,7
33,1,10,0,13
33,2,1,0,13
33,3,12,10,10
33,4,14,10,14
33,5,12,10,13
33,6,7,0,14
33,7,9,0,13
33,8,8,0,9
34,1,1,10,14
34,2,8,10,5
34,3,12,0,10
34,4,14,10,14
34,5,1,10,9
34,6,7,0,14
34,7,11,0,7
34,8,13,10,10
35,1,11,10,11
35,2,1,10,13
35,3,1,10,14
35,4,1,10,13
35,5,4,0,6
35,6,2,0,7
35,7,9,10,13
35,8,10,10,13
36,1,1,10,14
36,2,2,0,11
36,3,1,10,14
36,4,13,0,11
36,5,3,10,11
36,6,7,10,14
36,7,4,0,14
36,8,5,10,6
37,1,1,10,14
37,2,9,10,12
37,3,7,10,13
37,4,1,10,13
37,5,3,10,11
37,6,7,10,14
37,7,12,0,11
37,8,10,0,13
38,1,1,0,14
38,2,14,0,9
38,3,12,10,10
38,4,1,0,13
38,5,2,0,14
38,6,7,10,14
38,7,4,0,14
38,8,3,0,14
39,1,11,10,11
39,2,8,0,5
39,3,6,0,9
39,4,7,10,10
39,5,3,10,11
39,6,3,10,8
39,7,12,10,11
39,8,2,10,8
40,1,1,0,14
40,2,12,10,7
40,3,13,10,12
40,4,10,10,12
40,5,3,10,11
40,6,4,10,10
40,7,11,10,7
40,8,10,10,13
41,1,3,10,12
41,2,12,0,7
41,3,7,10,13
41,4,11,0,8
41,5,8,0,12
41,6,1,10,11
41,7,4,0,14
41,8,10,0,13
42,1,2,10,3
42,2,1,10,13
42,3,6,10,9
42,4,7,0,10
42,5,6,10,10
42,6,1,10,11
42,7,9,10,13
42,8,8,10,9
43,1,3,10,12
43,2,7,0,14
43,3,11,10,11
43,4,7,0,10
43,5,2,0,14
43,6,4,0,10
43,7,3,10,9
43,8,1,10,11
44,1,9,10,4
44,2,9,10,12
44,3,1,10,14
44,4,1,10,13
44,5,1,10,9
44,6,14,0,4
44,7,4,10,14
44,8,1,10,11
45,1,1,10,14
45,2,7,10,14
45,3,5,10,4
45,4,1,10,13
45,5,2,0,14
45,6,8,10,12
45,7,9,0,13
45,8,12,10,12
46,1,1,0,14
46,2,7,10,14
46,3,13,10,12
46,4,13,10,11
46,5,5,10,2
46,6,4,10,10
46,7,5,10,12
46,8,6,10,4
47,1,12,10,6
47,2,7,10,14
47,3,11,10,11
47,4,13,10,11
47,5,14,10,8
47,6,7,10,14
47,7,5,0,12
47,8,10,0,13
48,1,11,0,11
48,2,7,0,14
48,3,1,10,14
48,4,1,10,13
48,5,3,10,11
48,6,7,0,14
48,7,9,0,13
48,8,12,0,12
49,1,7,10,9
49,2,1,10,13
49,3,13,10,12
49,4,1,10,13
49,5,6,0,10
49,6,8,10,12
49,7,13,10,4
49,8,12,10,12
50,1,9,0,4
50,2,14,0,9
50,3,7,0,13
50,4,10,10,12
50,5,2,0,14
50,6,2,0,7
50,7,4,10,14
50,8,12,10,12
51,1,1,0,14
51,2,2,10,11
51,3,1,0,14
51,4,7,0,10
51,5,3,10,11
51,6,2,10,7
51,7,4,10,14
51,8,2,10,8
52,1,10,10,13
52,2,3,10,8
52,3,1,0,14
52,4,8,10,4
52,5,4,10,6
52,6,12,10,5
52,7,5,10,12
52,8,3,10,14
53,1,1,0,14
53,2,7,10,14
53,3,7,10,13
53,4,7,10,10
53,5,6,0,10
53,6,1,0,11
53,7,9,10,13
53,8,10,0,13
54,1,4,0,5
54,2,7,0,14
54,3,11,10,11
54,4,7,0,10
54,5,3,0,11
54,6,5,0,3
54,7,4,0,14
54,8,13,10,10
55,1,7,10,9
55,2,1,10,13
55,3,13,10,12
55,4,1,10,13
55,5,8,0,12
55,6,7,10,14
55,7,4,0,14
55,8,10,0,13
56,1,10,0,13
56,2,2,10,11
56,3,7,0,13
56,4,14,10,14
56,5,1,10,9
56,6,1,10,11
56,7,4,0,14
56,8,3,0,14
57,1,1,10,14
57,2,9,10,12
57,3,13,0,12
57,4,1,10,13
57,5,3,10,11
57,6,1,10,11
57,7,10,10,5
57,8,3,10,14
58,1,2,0,3
58,2,9,10,12
58,3,7,0,13
58,4,1,10,13
58,5,2,0,14
58,6,7,0,14
58,7,12,10,11
58,8,3,10,14
59,1,1,10,14
59,2,9,10,12
59,3,6,0,9
59,4,11,0,8
59,5,14,10,8
59,6,8,10,12
59,7,7,10,8
59,8,1,10,11
60,1,11,10,11
60,2,2,0,11
60,3,7,0,13
60,4,5,10,3
60,5,3,10,11
60,6,14,0,4
60,7,9,10,13
60,8,3,10,14
61,1,3,10,12
61,2,10,10,10
61,3,7,10,13
61,4,13,10,11
61,5,12,0,13
61,6,7,10,14
61,7,12,0,11
61,8,10,10,13
62,1,1,0,14
62,2,7,0,14
62,3,7,0,13
62,4,13,0,11
62,5,2,10,14
62,6,8,10,12
62,7,5,10,12
62,8,3,0,14
63,1,10,0,13
63,2,10,0,10
63,3,13,10,12
63,4,1,0,13
63,5,12,10,13
63,6,13,10,13
63,7,12,10,11
63,8,3,0,14
64,1,8,10,10
64,2,10,10,10
64,3,7,0,13
64,4,1,10,13
