Subj,Trial,OptionID,Choice,MFval,MBval,nPrevChosen
1,3,33,0,3,14,0
1,4,1,0,4,8,0
1,4,2,0,5,8,0
1,4,3,0,2,6,0
1,4,4,0,4,18,1
1,4,5,0,5,19,0
1,4,6,0,5,15,0
1,4,7,0,4,20,0
1,4,8,0,5,14,0
1,4,9,0,3,9,0
1,4,10,0,4,15,0
1,4,11,0,2,5,0
1,4,12,0,1,8,0
1,4,13,0,4,6,0
1,4,14,0,3,11,0
1,4,15,1,3,23,0
1,4,16,0,5,24,0
1,4,17,0,3,13,0
1,4,18,0,2,11,0
1,4,19,0,2,3,0
1,4,20,0,5,2,0
1,4,21,0,7,5,0
1,4,22,0,3,20,0
1,4,23,0,5,17,0
1,4,24,0,1,5,0
1,4,25,0,3,13,1
1,4,26,0,5,5,0
1,4,27,0,2,5,1
1,4,28,0,1,11,0
1,4,29,0,5,8,0
1,4,30,0,4,8,0
1,4,31,0,3,12,0
1,4,32,0,1,21,0
1,4,33,0,3,14,0
1,5,1,0,4,4,0
1,5,2,1,5,19,0
1,5,3,0,2,20,0
1,5,4,0,4,8,1
1,5,5,0,5,6,0
1,5,6,0,5,18,0
1,5,7,0,4,14,0
1,5,8,0,5,8,0
1,5,9,0,3,18,0
1,5,10,0,4,9,0
1,5,11,0,2,4,0
1,5,12,0,1,12,0
1,5,13,0,4,11,0
1,5,14,0,3,10,0
1,5,15,0,3,15,1
1,5,16,0,5,8,0
1,5,17,0,3,16,0
1,5,18,0,2,13,0
1,5,19,0,2,8,0
1,5,20,0,5,7,0
1,5,21,0,7,24,0
1,5,22,0,3,10,0
1,5,23,0,5,12,0
1,5,24,0,1,15,0
1,5,25,0,3,15,1
1,5,26,0,5,13,0
1,5,27,0,2,3,1
1,5,28,0,1,16,0
1,5,29,0,5,14,0
1,5,30,0,4,10,0
1,5,31,0,3,15,0
1,5,32,0,1,14,0
1,5,33,0,3,4,0
1,6,1,0,4,7,0
1,6,2,0,5,2,1
1,6,3,0,2,13,0
1,6,4,0,4,3,1
1,6,5,0,5,6,0
1,6,6,0,5,4,0
1,6,7,0,4,9,0
1,6,8,0,5,4,0
1,6,9,0,3,8,0
1,6,10,0,4,6,0
1,6,11,0,2,16,0
1,6,12,0,1,11,0
1,6,13,0,4,9,0
1,6,14,0,3,26,0
1,6,15,0,3,9,1
1,6,16,0,5,11,0
1,6,17,0,3,19,0
1,6,18,1,2,8,0
1,6,19,0,2,16,0
1,6,20,0,5,7,0
1,6,21,0,7,22,0
1,6,22,0,3,12,0
1,6,23,0,5,15,0
1,6,24,0,1,14,0
1,6,25,0,3,13,1
1,6,26,0,5,9,0
1,6,27,0,2,11,1
1,6,28,0,1,16,0
1,6,29,0,5,13,0
1,6,30,0,4,8,0
1,6,31,0,3,3,0
1,6,32,0,1,10,0
1,6,33,0,3,12,0
1,7,1,0,4,24,0
1,7,2,0,5,21,1
1,7,3,0,2,4,0
1,7,4,0,4,4,1
1,7,5,0,5,6,0
1,7,6,0,5,13,0
1,7,7,0,4,13,0
1,7,8,0,5,21,0
1,7,9,0,3,13,0
1,7,10,0,4,15,0
1,7,11,0,2,16,0
1,7,12,0,1,0,0
1,7,13,0,4,13,0
1,7,14,0,3,6,0
1,7,15,0,3,9,1
1,7,16,0,5,13,0
1,7,17,1,3,9,0
1,7,18,0,2,20,1
1,7,19,0,2,12,0
1,7,20,0,5,2,0
1,7,21,0,7,18,0
1,7,22,0,3,11,0
1,7,23,0,5,11,0
1,7,24,0,1,13,0
1,7,25,0,3,9,1
1,7,26,0,5,1,0
1,7,27,0,2,24,1
1,7,28,0,1,13,0
1,7,29,0,5,7,0
1,7,30,0,4,2,0
1,7,31,0,3,2,0
1,7,32,0,1,22,0
1,7,33,0,3,16,0
1,8,1,0,4,9,0
1,8,2,0,5,12,1
1,8,3,0,2,13,0
1,8,4,0,4,9,1
1,8,5,0,5,5,0
1,8,6,0,5,5,0
1,8,7,0,4,15,0
1,8,8,0,5,16,0
1,8,9,0,3,12,0
1,8,10,0,4,15,0
1,8,11,0,2,16,0
1,8,12,0,1,9,0
1,8,13,0,4,12,0
1,8,14,0,3,6,0
1,8,15,0,3,16,1
1,8,16,1,5,12,0
1,8,17,0,3,3,1
1,8,18,0,2,22,1
1,8,19,0,2,3,0
1,8,20,0,5,7,0
1,8,21,0,7,18,0
1,8,22,0,3,4,0
1,8,23,0,5,12,0
1,8,24,0,1,22,0
1,8,25,0,3,8,1
1,8,26,0,5,8,0
1,8,27,0,2,6,1
1,8,28,0,1,4,0
1,8,29,0,5,16,0
1,8,30,0,4,6,0
1,8,31,0,3,7,0
1,8,32,0,1,11,0
1,8,33,0,3,7,0
1,9,1,0,4,4,0
1,9,2,0,5,9,1
1,9,3,0,2,17,0
1,9,4,0,4,2,1
1,9,5,0,5,13,0
1,9,6,0,5,10,0
1,9,7,0,4,11,0
1,9,8,0,5,2,0
1,9,9,0,3,9,0
1,9,10,0,4,14,0
1,9,11,0,2,11,0
1,9,12,0,1,17,0
1,9,13,0,4,9,0
1,9,14,0,3,13,0
1,9,15,0,3,12,1
1,9,16,0,5,2,1
1,9,17,0,3,7,1
1,9,18,0,2,20,1
1,9,19,1,2,12,0
1,9,20,0,5,16,0
1,9,21,0,7,18,0
1,9,22,0,3,9,0
1,9,23,0,5,12,0
1,9,24,0,1,4,0
1,9,25,0,3,14,1
1,9,26,0,5,16,0
1,9,27,0,2,9,1
1,9,28,0,1,5,0
1,9,29,0,5,6,0
1,9,30,0,4,20,0
1,9,31,0,3,10,0
1,9,32,0,1,6,0
1,9,33,0,3,17,0
2,1,1,0,5,4,0
2,1,2,0,5,7,0
2,1,3,0,2,18,0
2,1,4,0,2,11,0
2,1,5,0,4,24,0
2,1,6,0,5,11,0
2,1,7,0,6,21,0
2,1,8,0,4,10,0
2,1,9,0,6,10,0
2,1,10,0,5,12,0
2,1,11,0,4,14,0
2,1,12,0,6,6,0
2,1,13,0,7,11,0
2,1,14,0,6,11,0
2,1,15,0,3,12,0
2,1,16,0,3,11,0
2,1,17,0,2,5,0
2,1,18,0,2,5,0
2,1,19,0,6,7,0
2,1,20,0,3,19,0
2,1,21,0,3,9,0
2,1,22,0,7,18,0
2,1,23,0,5,10,0
2,1,24,0,5,11,0
2,1,25,0,5,14,0
2,1,26,1,6,14,0
2,1,27,0,4,17,0
2,1,28,0,4,2,0
2,1,29,0,1,3,0
2,1,30,0,5,7,0
2,1,31,0,2,8,0
2,1,32,0,4,15,0
2,1,33,0,3,2,0
2,2,1,0,5,16,0
2,2,2,0,5,22,0
2,2,3,0,2,7,0
2,2,4,0,2,13,0
2,2,5,0,4,4,0
2,2,6,0,5,4,0
2,2,7,0,6,1,0
2,2,8,0,4,7,0
2,2,9,0,6,9,0
2,2,10,0,5,2,0
2,2,11,0,4,13,0
2,2,12,0,6,9,0
2,2,13,0,7,9,0
2,2,14,1,6,5,0
2,2,15,0,3,13,0
2,2,16,0,3,11,0
2,2,17,0,2,12,0
2,2,18,0,2,12,0
2,2,19,0,6,14,0
2,2,20,0,3,25,0
2,2,21,0,3,7,0
2,2,22,0,7,13,0
2,2,23,0,5,18,0
2,2,24,0,5,11,0
2,2,25,0,5,20,0
2,2,26,0,6,21,1
2,2,27,0,4,3,0
2,2,28,0,4,21,0
2,2,29,0,1,10,0
2,2,30,0,5,14,0
2,2,31,0,2,4,0
2,2,32,0,4,1,0
2,2,33,0,3,13,0
2,3,1,0,5,3,0
2,3,2,0,5,4,0
2,3,3,0,2,9,0
2,3,4,0,2,21,0
2,3,5,0,4,13,0
2,3,6,0,5,9,0
2,3,7,0,6,12,0
2,3,8,0,4,13,0
2,3,9,0,6,8,0
2,3,10,0,5,3,0
2,3,11,0,4,9,0
2,3,12,0,6,13,0
2,3,13,1,7,17,0
2,3,14,0,6,22,1
2,3,15,0,3,21,0
2,3,16,0,3,20,0
2,3,17,0,2,10,0
2,3,18,0,2,7,0
2,3,19,0,6,4,0
2,3,20,0,3,15,0
2,3,21,0,3,14,0
2,3,22,0,7,6,0
2,3,23,0,5,4,0
2,3,24,0,5,5,0
2,3,25,0,5,6,0
2,3,26,0,6,22,1
2,3,27,0,4,16,0
2,3,28,0,4,4,0
2,3,29,0,1,20,0
2,3,30,0,5,18,0
2,3,31,0,2,24,0
2,3,32,0,4,9,0
2,3,33,0,3,14,0
2,4,1,0,5,8,0
2,4,2,0,5,8,0
2,4,3,0,2,6,0
2,4,4,0,2,18,0
2,4,5,0,4,19,0
2,4,6,0,5,15,0
2,4,7,0,6,20,0
2,4,8,0,4,14,0
2,4,9,0,6,9,0
2,4,10,0,5,15,0
2,4,11,0,4,5,0
2,4,12,1,6,8,0
2,4,13,0,7,6,1
