subject,trial,choice_real_ind,s1_value,rank_value
1,1,4,10,5
1,2,6,10,3
1,3,7,10,13
1,4,2,10,6
1,5,2,10,14
1,6,2,10,7
1,7,4,10,14
1,8,12,10,12
2,1,13,10,7
2,2,1,0,13
2,3,7,0,13
2,4,10,0,12
2,5,8,10,12
2,6,10,0,6
2,7,8,10,10
2,8,7,0,7
3,1,14,10,1
3,2,7,0,14
3,3,1,10,14
3,4,13,10,11
3,5,2,0,14
3,6,12,10,5
3,7,9,10,13
3,8,13,10,10
4,1,10,10,13
4,2,7,10,14
4,3,7,10,13
4,4,14,10,14
4,5,13,0,7
4,6,8,10,12
4,7,4,0,14
4,8,1,10,11
5,1,3,10,12
5,2,10,10,10
5,3,12,0,10
5,4,7,10,10
5,5,14,10,8
5,6,7,10,14
5,7,9,10,13
5,8,13,0,10
6,1,1,10,14
6,2,1,10,13
6,3,13,10,12
6,4,1,10,13
6,5,8,0,12
6,6,13,10,13
6,7,13,10,4
6,8,3,10,14
7,1,1,0,14
7,2,2,0,11
7,3,11,10,11
7,4,13,10,11
7,5,8,0,12
7,6,13,10,13
7,7,4,10,14
7,8,12,10,12
8,1,2,10,3
8,2,1,0,13
8,3,6,10,9
8,4,2,10,6
8,5,2,10,14
8,6,12,0,5
8,7,4,10,14
8,8,10,10,13
9,1,1,10,14
9,2,9,10,12
9,3,1,10,14
9,4,10,10,12
9,5,2,0,14
9,6,6,0,9
9,7,4,0,14
9,8,13,10,10
10,1,10,10,13
10,2,7,0,14
10,3,12,10,10
10,4,1,10,13
10,5,2,0,14
10,6,7,0,14
10,7,5,10,12
10,8,10,10,13
11,1,3,0,12
11,2,14,10,9
11,3,11,10,11
11,4,10,10,12
11,5,3,0,11
11,6,8,0,12
11,7,12,10,11
11,8,10,10,13
12,1,3,0,12
12,2,7,0,14
12,3,6,0,9
12,4,10,0,12
12,5,7,0,4
12,6,13,0,13
12,7,4,0,14
12,8,2,10,8
13,1,8,0,10
13,2,7,10,14
13,3,6,0,9
13,4,14,10,14
13,5,3,10,11
13,6,7,10,14
13,7,5,0,12
13,8,12,0,12
14,1,1,10,14
14,2,7,10,14
14,3,1,10,14
14,4,14,10,14
14,5,2,10,14
14,6,13,0,13
14,7,8,0,10
14,8,1,10,11
15,1,3,0,12
15,2,1,10,13
15,3,7,0,13
15,4,14,10,14
15,5,13,0,7
15,6,8,0,12
15,7,14,10,6
15,8,10,10,13
16,1,3,10,12
16,2,1,10,13
16,3,1,10,14
16,4,14,0,14
16,5,2,0,14
16,6,4,0,10
16,7,8,10,10
16,8,10,10,13
17,1,6,10,8
17,2,8,0,5
17,3,6,10,9
17,4,14,0,14
17,5,8,0,12
17,6,2,10,7
17,7,13,10,4
17,8,10,10,13
18,1,8,10,10
18,2,7,10,14
18,3,11,10,11
18,4,10,10,12
18,5,2,0,14
18,6,4,0,10
18,7,4,0,14
18,8,10,10,13
19,1,8,10,10
19,2,4,0,4
19,3,6,0,9
19,4,13,10,11
19,5,8,10,12
19,6,3,10,8
19,7,9,0,13
19,8,2,10,8
20,1,5,10,2
20,2,1,10,13
20,3,11,0,11
20,4,1,10,13
20,5,2,0,14
20,6,7,10,14
20,7,12,0,11
20,8,3,10,14
21,1,3,0,12
21,2,1,10,13
21,3,7,0,13
21,4,7,0,10
21,5,14,0,8
21,6,13,10,13
21,7,12,0,11
21,8,1,10,11
22,1,1,0,14
22,2,7,10,14
22,3,1,0,14
22,4,14,10,14
22,5,14,10,8
22,6,8,0,12
22,7,12,0,11
22,8,3,10,14
23,1,10,10,13
23,2,9,0,12
23,3,14,0,8
23,4,14,0,14
23,5,3,10,11
23,6,12,0,5
23,7,12,0,11
23,8,12,0,12
24,1,8,10,10
24,2,2,0,11
24,3,6,10,9
24,4,10,0,12
24,5,2,0,14
24,6,8,10,12
24,7,9,0,13
24,8,10,0,13
25,1,1,10,14
25,2,3,10,8
25,3,1,10,14
25,4,1,10,13
25,5,8,10,12
25,6,8,10,12
25,7,9,10,13
25,8,8,10,9
26,1,8,0,10
26,2,1,10,13
26,3,13,0,12
26,4,7,10,10
26,5,3,0,11
26,6,7,10,14
26,7,12,0,11
26,8,3,0,14
27,1,10,0,13
27,2,2,10,11
27,3,7,10,13
27,4,5,10,3
27,5,2,10,14
27,6,10,0,6
27,7,11,10,7
27,8,12,0,12
28,1,1,0,14
28,2,10,10,10
28,3,12,0,10
28,4,10,10,12
28,5,2,10,14
28,6,8,0,12
28,7,4,0,14
28,8,8,0,9
29,1,1,10,14
29,2,7,10,14
29,3,1,10,14
29,4,14,0,14
29,5,1,10,9
29,6,7,10,14
29,7,5,0,12
29,8,12,10,12
30,1,1,10,14
30,2,2,10,11
30,3,9,10,7
30,4,14,10,14
30,5,1,10,9
30,6,2,10,7
30,7,9,10,13
30,8,8,10,9
31,1,10,0,13
31,2,11,10,6
31,3,13,0,12
31,4,14,10,14
31,5,2,10,14
31,6,8,0,12
31,7,12,0,11
31,8,7,10,7
32,1,8,10,10
32,2,10,10,10
32,3,13,10,12
32,4,13,10,11
32,5,8,10,12
32,6,7,0,14
32,7,4,10,14
32,8,13,10,10
33,1,1,0,14
33,2,1,0,13
33,3,11,10,11
33,4,1,0,13
33,5,12,10,13
33,6,13,10,13
33,7,2,10,2
33,8,7,0,7
34,1,8,10,10
34,2,7,0,14
34,3,9,0,7
34,4,1,10,13
34,5,4,10,6
34,6,7,0,14
34,7,5,0,12
34,8,10,0,13
35,1,13,10,7
35,2,2,0,11
35,3,11,10,11
35,4,13,10,11
35,5,3,10,11
35,6,7,0,14
35,7,9,10,13
35,8,8,10,9
36,1,6,10,8
36,2,14,10,9
36,3,14,10,8
36,4,6,10,7
36,5,14,10,8
36,6,1,10,11
36,7,5,10,12
36,8,1,10,11
37,1,6,10,8
37,2,7,10,14
37,3,6,10,9
37,4,6,10,7
37,5,3,10,11
37,6,8,10,12
37,7,6,10,1
37,8,1,10,11
38,1,7,10,9
38,2,9,10,12
38,3,7,10,13
38,4,7,10,10
38,5,12,10,13
38,6,13,10,13
38,7,9,10,13
38,8,10,10,13
39,1,1,0,14
39,2,9,10,12
39,3,1,0,14
39,4,10,0,12
39,5,8,0,12
39,6,8,0,12
39,7,3,10,9
39,8,3,10,14
40,1,10,10,13
40,2,7,0,14
40,3,11,10,11
40,4,13,10,11
40,5,2,0,14
40,6,1,0,11
40,7,12,10,11
40,8,8,0,9
41,1,10,0,13
41,2,7,10,14
41,3,7,10,13
41,4,14,10,14
41,5,12,0,13
41,6,8,0,12
41,7,12,0,11
41,8,3,10,14
42,1,3,10,12
42,2,1,10,13
42,3,6,10,9
42,4,6,10,7
42,5,11,0,5
42,6,2,10,7
42,7,3,10,9
42,8,3,10,14
43,1,1,10,14
43,2,6,0,3
43,3,6,0,9
43,4,13,10,11
43,5,2,0,14
43,6,13,10,13
43,7,9,10,13
43,8,12,10,12
44,1,10,10,13
44,2,7,0,14
44,3,1,10,14
44,4,10,10,12
44,5,2,0,14
44,6,7,0,14
44,7,9,10,13
44,8,1,10,11
45,1,8,10,10
45,2,2,0,11
45,3,1,10,14
45,4,14,10,14
45,5,6,10,10
45,6,7,10,14
45,7,8,10,10
45,8,1,10,11
46,1,10,0,13
