"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","1","JUNE","5","12","14","0","2018-11-02 20:14:38","132784"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","1","MARCH","2","14","18","0","2018-11-02 20:14:38","132785"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","0","FEBRUARY","1","3","2","0","2018-11-02 20:14:38","132786"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","0","SEPTEMBER","8","1","16","0","2018-11-02 20:14:38","132787"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","0","JULY","6","3","12","0","2018-11-02 20:14:38","132788"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","1","NOVEMBER","10","6","22","0","2018-11-02 20:14:38","132789"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","0","OCTOBER","9","2","20","0","2018-11-02 20:14:38","132790"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","0","AUGUST","7","1","7","0","2018-11-02 20:14:38","132791"
"A27Y4NEIQQH00M","cs_wg_mon_deconf_v1_pilot2","3TXMY6UCAEPFFK9SFO6GTJJIZF2QCA","1","DECEMBER","11","8","3","0","2018-11-02 20:14:39","132792"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","MARCH","2","8","18","0","2018-11-02 20:14:43","132793"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","FEBRUARY","1","14","2","0","2018-11-02 20:14:43","132794"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","APRIL","3","1","18","0","2018-11-02 20:14:43","132795"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","JUNE","5","6","14","0","2018-11-02 20:14:43","132796"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","JANUARY","0","2","14","0","2018-11-02 20:14:43","132797"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","MAY","4","1","25","0","2018-11-02 20:14:43","132798"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","AUGUST","7","12","7","0","2018-11-02 20:14:43","132799"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","OCTOBER","9","2","20","0","2018-11-02 20:14:43","132800"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","JULY","6","3","12","0","2018-11-02 20:14:43","132801"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","0","SEPTEMBER","8","3","16","0","2018-11-02 20:14:43","132802"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","DECEMBER","11","10","3","0","2018-11-02 20:14:43","132803"
"AYYL6SPHBIWB","cs_wg_mon_deconf_v1_pilot2","3ATTHHXXWAPQ1KW4TCXUYUD69N9IX1","1","NOVEMBER","10","4","22","0","2018-11-02 20:14:43","132804"
"AW0225ONUAPO5","cs_wg_mon_deconf_v1_pilot2","3EJPLAJKEMHZDV1ISTCQYC3C8WDZ6M","0","MARCH","2","1","18","0","2018-11-02 20:14:44","132805"
"AW0225ONUAPO5","cs_wg_mon_deconf_v1_pilot2","3EJPLAJKEMHZDV1ISTCQYC3C8WDZ6M","0","APRIL","3","1","18","0","2018-11-02 20:14:44","132806"
"AW0225ONUAPO5","cs_wg_mon_deconf_v1_pilot2","3EJPLAJKEMHZDV1ISTCQYC3C8WDZ6M","0","JANUARY","0","2","14","0","2018-11-02 20:14:44","132807"
