"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","0","4","1","23829","community","community
ladder
wedding
","16000","2018-01-27 16:18:03","13163"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","3","1","45761","community","community
traffic
","26000","2018-01-27 16:18:31","13164"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","1","7","1","32886","WEDDING","WEDDING
COMMUNITY
LADDER
TRAFFIC","31000","2018-01-27 16:19:09","13165"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","1","6","1","28785",,,"21000","2018-01-27 16:19:23","13166"
"A2GDEY3ZE51YY1","cs_wg_v10_real2","3M0NZ3JDP1Z3UR14NA2L66PAHIF5ZO",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","0","4","1","31020","WEDDING","wedding","31000","2018-01-27 16:19:24","13167"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","2","5","1","20878","machine",,"16000","2018-01-27 16:20:02","13168"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","2","4","1","25856","COMMUNITY","WEDDING
TRAFFIC
BOOKCASE
COMMUNITY","31000","2018-01-27 16:20:08","13169"
"A2GDEY3ZE51YY1","cs_wg_v10_real2","3M0NZ3JDP1Z3UR14NA2L66PAHIF5ZO",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","4","1","36604","TRAFFIC",,"16000","2018-01-27 16:20:18","13170"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","4","1","16041","traffic",,"16000","2018-01-27 16:20:36","13171"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","3","6","1","43226","BOOKCASE","LADDER
BOOKCASE
HELICOPTER
TRAFFIC","21000","2018-01-27 16:21:14","13172"
"AS0M9S5W52N4M","cs_wg_v10_real2","3P59JYT76LLF9I9IZZB5MBLHCC22T4",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","0","3","1","27843","helicopter","helicopter","21000","2018-01-27 16:21:20","13173"
"A2GDEY3ZE51YY1","cs_wg_v10_real2","3M0NZ3JDP1Z3UR14NA2L66PAHIF5ZO",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","2","3","1","41070","BOOKSHELF","COMMUNITY
BOOKSHELF","21000","2018-01-27 16:21:23","13174"
"AGU7OT5JMLZUM","cs_wg_v10_real2","3H8DHMCCW9C399HB2FHUH3PPQQ0DKI",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","0","4","1","18060","umbrella",,"16000","2018-01-27 16:21:43","13175"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","6","0","35821","football",,"31000","2018-01-27 16:21:46","13176"
"A3P2LT53J1GUBG","cs_wg_v10_real2","3LKC68YZ3A4L862HH2EDG8VJHBGOWM",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","0","6","0","20432","HELICOPTER","COMMUNITY","31000","2018-01-27 16:21:51","13177"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","4","5","1","31363","HELICOPTER","WEDDING
COMMUNITY
HELICOPTER","26000","2018-01-27 16:22:14","13178"
"A1AQK667NBERJ1","cs_wg_v10_real2","392CY0QWG1SZ3I8U91VP1JG6L9II4Z",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","4","0","16715","FOOTBALL",,"26000","2018-01-27 16:22:14","13179"
"AGU7OT5JMLZUM","cs_wg_v10_real2","3H8DHMCCW9C399HB2FHUH3PPQQ0DKI",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","3","1","19376","helicopter",,"21000","2018-01-27 16:22:26","13180"
"A3P2LT53J1GUBG","cs_wg_v10_real2","3LKC68YZ3A4L862HH2EDG8VJHBGOWM",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","1","3","1","30429","COMMUNITY",,"21000","2018-01-27 16:22:45","13181"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","5","4","1","32063","wedding",,"31000","2018-01-27 16:22:52","13182"
"A2GDEY3ZE51YY1","cs_wg_v10_real2","3M0NZ3JDP1Z3UR14NA2L66PAHIF5ZO",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","3","7","1","58218","HELICOPTER","WEDDING
TRAFFIC","31000","2018-01-27 16:22:54","13183"
"AS0M9S5W52N4M","cs_wg_v10_real2","3P59JYT76LLF9I9IZZB5MBLHCC22T4",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","1","4","1","76545","community","community, ","16000","2018-01-27 16:22:55","13184"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","5","5","1","23220","LADDER","WED
COM
LAD
HEL
B","16000","2018-01-27 16:22:55","13185"
"A1AQK667NBERJ1","cs_wg_v10_real2","392CY0QWG1SZ3I8U91VP1JG6L9II4Z",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","1","4","1","17641","UMBRELLA",,"31000","2018-01-27 16:23:04","13186"
"AGU7OT5JMLZUM","cs_wg_v10_real2","3H8DHMCCW9C399HB2FHUH3PPQQ0DKI",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","2","3","1","19791",,,"26000","2018-01-27 16:23:14","13187"
"A3VRTLZK70Q8RY","cs_wg_v10_real2","336KAV9KYQTBQ48C95Y4USDWREK2YT",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","0","5","1","31361",,,"16000","2018-01-27 16:23:19","13188"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","6","3","1","8494",,,"21000","2018-01-27 16:23:23","13189"
"A2OXTS31LD48BC","cs_wg_v10_real2","3FUI0JHJPXZZVJ77OKJJN8MBORP33Z",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","6","3","1","14027","FOOTBALL","WEDDING
COMMU
FOOTB
","26000","2018-01-27 16:23:37","13190"
"AS0M9S5W52N4M","cs_wg_v10_real2","3P59JYT76LLF9I9IZZB5MBLHCC22T4",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","2","6","1","24645","traffic",,"21000","2018-01-27 16:23:42","13191"
"A2GDEY3ZE51YY1","cs_wg_v10_real2","3M0NZ3JDP1Z3UR14NA2L66PAHIF5ZO",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","4","6","1","33130","UMBRELLA",,"21000","2018-01-27 16:23:50","13192"
"A3P2LT53J1GUBG","cs_wg_v10_real2","3LKC68YZ3A4L862HH2EDG8VJHBGOWM",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","2","5","1","41428","LADDER","COMMUNITY
LADDER","26000","2018-01-27 16:23:54","13193"
"AGU7OT5JMLZUM","cs_wg_v10_real2","3H8DHMCCW9C399HB2FHUH3PPQQ0DKI",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","3","6","1","23525","football",,"21000","2018-01-27 16:24:01","13194"
"A1AQK667NBERJ1","cs_wg_v10_real2","392CY0QWG1SZ3I8U91VP1JG6L9II4Z",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","2","5","1","30569","STRUCTURE",,"26000","2018-01-27 16:24:03","13195"
"A1QTFE8FVK3HMG","cs_wg_v10_real2","3OB0CAO74HQF5UBUSQ1BHWJYGX2YH7",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","7","5","1","18353",,,"26000","2018-01-27 16:24:10","13196"
"A3BQEL6A6KX8CP","cs_wg_v10_real2","3KWTYT08704JP2K089BCYREC297L5L",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","0","10","0","19631","ladder
ladde","ladder","16000","2018-01-27 16:24:12","13197"
"ADGE1P244LWYU","cs_wg_v10_real2","3IFS6Q0HJIKI53A5Z2R7ZMWCZPLIS6",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","4","0","20084",,,"26000","2018-01-27 16:24:13","13198"
