Subj,Trial,OptionID,Choice,MFval,MBval,Choice2
2,7,2,0,1,2,0
2,7,3,0,1,9,0
2,7,4,0,1,14,0
2,7,5,0,1,12,0
2,7,6,0,0,1,0
2,7,7,0,0,8,0
2,7,8,1,1,10,0
2,7,9,0,0,13,0
2,7,10,0,0,5,0
2,7,11,0,0,7,0
2,7,12,0,0,11,0
2,7,13,0,1,4,0
2,7,14,0,1,6,0
2,8,1,0,0,11,7
2,8,2,0,1,8,0
2,8,3,0,1,14,0
2,8,4,0,1,5,0
2,8,5,0,1,6,0
2,8,6,0,0,4,0
2,8,7,1,0,7,0
2,8,8,0,1,9,0
2,8,9,0,0,1,0
2,8,10,0,0,13,0
2,8,11,0,0,3,0
2,8,12,0,0,12,0
2,8,13,0,1,10,0
2,8,14,0,1,2,0
3,1,1,0,1,14,14
3,1,2,0,0,3,0
3,1,3,0,0,12,0
3,1,4,0,0,5,0
3,1,5,0,0,2,0
3,1,6,0,1,8,0
3,1,7,0,0,9,0
3,1,8,0,1,10,0
3,1,9,0,1,4,0
3,1,10,0,0,13,0
3,1,11,0,0,11,0
3,1,12,0,1,6,0
3,1,13,0,1,7,0
3,1,14,1,1,1,0
3,2,1,0,1,13,7
3,2,2,0,0,11,0
3,2,3,0,0,8,0
3,2,4,0,0,4,0
3,2,5,0,0,1,0
3,2,6,0,1,3,0
3,2,7,1,0,14,0
3,2,8,0,1,5,0
3,2,9,0,1,12,0
3,2,10,0,0,10,0
3,2,11,0,0,6,0
3,2,12,0,1,7,0
3,2,13,0,1,2,0
3,2,14,0,1,9,0
3,3,1,1,1,14,1
3,3,2,0,0,2,0
3,3,3,0,0,3,0
3,3,4,0,0,5,0
3,3,5,0,0,4,0
3,3,6,0,1,9,0
3,3,7,0,0,13,0
3,3,8,0,1,1,0
3,3,9,0,1,7,0
3,3,10,0,0,6,0
3,3,11,0,0,11,0
3,3,12,0,1,10,0
3,3,13,0,1,12,0
3,3,14,0,1,8,0
3,4,1,0,1,13,13
3,4,2,0,0,6,0
3,4,3,0,0,1,0
3,4,4,0,0,5,0
3,4,5,0,0,3,0
3,4,6,0,1,7,0
3,4,7,0,0,10,0
3,4,8,0,1,4,0
3,4,9,0,1,2,0
3,4,10,0,0,12,0
3,4,11,0,0,8,0
3,4,12,0,1,9,0
3,4,13,1,1,11,0
3,4,14,0,1,14,0
3,5,1,0,1,9,2
3,5,2,1,0,14,0
3,5,3,0,0,11,0
3,5,4,0,0,6,0
3,5,5,0,0,2,0
3,5,6,0,1,10,0
3,5,7,0,0,4,0
3,5,8,0,1,12,0
3,5,9,0,1,1,0
3,5,10,0,0,3,0
3,5,11,0,0,5,0
3,5,12,0,1,13,0
3,5,13,0,1,7,0
3,5,14,0,1,8,0
3,6,1,0,1,11,12
3,6,2,0,0,7,0
3,6,3,0,0,8,0
3,6,4,0,0,10,0
3,6,5,0,0,3,0
3,6,6,0,1,9,0
3,6,7,0,0,14,0
3,6,8,0,1,12,0
3,6,9,0,1,1,0
3,6,10,0,0,6,0
3,6,11,0,0,2,0
3,6,12,1,1,5,0
3,6,13,0,1,13,0
3,6,14,0,1,4,0
3,7,1,0,1,3,9
3,7,2,0,0,2,0
3,7,3,0,0,9,0
3,7,4,0,0,14,0
3,7,5,0,0,12,0
3,7,6,0,1,1,0
3,7,7,0,0,8,0
3,7,8,0,1,10,0
3,7,9,1,1,13,0
3,7,10,0,0,5,0
3,7,11,0,0,7,0
3,7,12,0,1,11,0
3,7,13,0,1,4,0
3,7,14,0,1,6,0
3,8,1,0,1,11,13
3,8,2,0,0,8,0
3,8,3,0,0,14,0
3,8,4,0,0,5,0
3,8,5,0,0,6,0
3,8,6,0,1,4,0
3,8,7,0,0,7,0
3,8,8,0,1,9,0
3,8,9,0,1,1,0
3,8,10,0,0,13,0
3,8,11,0,0,3,0
3,8,12,0,1,12,0
3,8,13,1,1,10,0
3,8,14,0,1,2,0
4,1,1,0,1,14,10
4,1,2,0,0,3,0
4,1,3,0,0,12,0
4,1,4,0,0,5,0
4,1,5,0,0,2,0
4,1,6,0,0,8,0
4,1,7,0,1,9,0
4,1,8,0,1,10,0
4,1,9,0,1,4,0
4,1,10,1,1,13,0
4,1,11,0,1,11,0
4,1,12,0,0,6,0
4,1,13,0,0,7,0
4,1,14,0,1,1,0
4,2,1,0,1,13,7
4,2,2,0,0,11,0
4,2,3,0,0,8,0
4,2,4,0,0,4,0
4,2,5,0,0,1,0
4,2,6,0,0,3,0
4,2,7,1,1,14,0
4,2,8,0,1,5,0
4,2,9,0,1,12,0
4,2,10,0,1,10,0
4,2,11,0,1,6,0
4,2,12,0,0,7,0
4,2,13,0,0,2,0
4,2,14,0,1,9,0
4,3,1,0,1,14,7
4,3,2,0,0,2,0
4,3,3,0,0,3,0
4,3,4,0,0,5,0
4,3,5,0,0,4,0
4,3,6,0,0,9,0
4,3,7,1,1,13,0
4,3,8,0,1,1,0
4,3,9,0,1,7,0
4,3,10,0,1,6,0
4,3,11,0,1,11,0
4,3,12,0,0,10,0
4,3,13,0,0,12,0
4,3,14,0,1,8,0
4,4,1,0,1,13,14
4,4,2,0,0,6,0
4,4,3,0,0,1,0
4,4,4,0,0,5,0
4,4,5,0,0,3,0
4,4,6,0,0,7,0
4,4,7,0,1,10,0
4,4,8,0,1,4,0
