"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","AUGUST","7","4","7","0","2018-10-24 13:59:45","123908"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","JUNE","5","1","14","0","2018-10-24 13:59:45","123909"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","APRIL","3","10","18","0","2018-10-24 13:59:45","123910"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","NOVEMBER","10","3","22","0","2018-10-24 13:59:45","123911"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","SEPTEMBER","8","5","16","0","2018-10-24 13:59:45","123912"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","DECEMBER","11","12","3","0","2018-10-24 13:59:45","123913"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","5","JANUARY","0","7","14","0","2018-10-24 13:59:45","123914"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","JANUARY","0","10","14","0","2018-10-24 14:00:00","123915"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","APRIL","3","9","18","0","2018-10-24 14:00:00","123916"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","FEBRUARY","1","3","2","0","2018-10-24 14:00:00","123917"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","MAY","4","7","25","0","2018-10-24 14:00:00","123918"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","MARCH","2","5","18","0","2018-10-24 14:00:00","123919"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","AUGUST","7","6","7","0","2018-10-24 14:00:00","123920"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","JUNE","5","2","14","0","2018-10-24 14:00:00","123921"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","JULY","6","1","12","0","2018-10-24 14:00:00","123922"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","SEPTEMBER","8","8","16","0","2018-10-24 14:00:00","123923"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","OCTOBER","9","11","20","0","2018-10-24 14:00:00","123924"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","DECEMBER","11","4","3","0","2018-10-24 14:00:00","123925"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","30","NOVEMBER","10","12","22","0","2018-10-24 14:00:00","123926"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","JANUARY","0","5","14","0","2018-10-24 14:00:00","123927"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","APRIL","3","7","18","0","2018-10-24 14:00:00","123928"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","FEBRUARY","1","9","2","0","2018-10-24 14:00:00","123929"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","MAY","4","12","25","0","2018-10-24 14:00:00","123930"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","MARCH","2","11","18","0","2018-10-24 14:00:00","123931"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","JUNE","5","6","14","0","2018-10-24 14:00:00","123932"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","JULY","6","8","12","0","2018-10-24 14:00:00","123933"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","SEPTEMBER","8","10","16","0","2018-10-24 14:00:00","123934"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","AUGUST","7","3","7","0","2018-10-24 14:00:00","123935"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","DECEMBER","11","1","3","0","2018-10-24 14:00:00","123936"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","OCTOBER","9","2","20","0","2018-10-24 14:00:00","123937"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","10","NOVEMBER","10","4","22","0","2018-10-24 14:00:00","123938"
