"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
3,14,3,12,14,1,14,14,11,0,17,2,24,18
