"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A25N802S4J344I","cs_wg_full_v2_conf_p","3DHE4R9OCWCB4DNCFZCYNS6TN4CG22","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","41736","0","1","trivia",,"16000",,,"2018-07-02 21:19:08","21984"
"A25N802S4J344I","cs_wg_full_v2_conf_p","3DHE4R9OCWCB4DNCFZCYNS6TN4CG22","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""liquid:true"",""beggar:false"",""balcony:false"",""coffin:false"",""chicken:false"",""bakery:false"",""animal:false"",""barrel:false"",""magnet:false"",""royalty:false"",""trivia:true"",""bikini:true""]",,"38020",,,"2018-07-02 21:19:47","21985"
"ARR1VG3SV6BLW","cs_wg_full_v2_conf_p","3MTMREQS4VJW628G7J9VFDBFTGSWAM","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","46843","0","1","baptism","baptism","16000",,,"2018-07-02 21:21:28","21986"
"ARR1VG3SV6BLW","cs_wg_full_v2_conf_p","3MTMREQS4VJW628G7J9VFDBFTGSWAM","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:false"",""dagger:false"",""baboon:false"",""firefly:false"",""jacket:false"",""camera:false"",""hermit:false"",""church:false"",""peanut:false"",""bullet:false"",""shiver:false"",""baptism:true""]",,"8310",,,"2018-07-02 21:21:37","21987"
"A1YG0T6TJPP9QX","cs_wg_full_v2_conf_p","31T4R4OBOSH5924DJPXATS2M0SGC7E","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","71925","0","1","spatula",,"16000",,,"2018-07-02 21:22:44","21988"
"A2D30R5ZNQS01W","cs_wg_full_v2_conf_p","3RXPCZQMQPC4FS5GWVCKI9WOVZS1G2","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27085","0","1","javelin","javelin p","16000",,,"2018-07-02 21:24:45","21989"
"A2D30R5ZNQS01W","cs_wg_full_v2_conf_p","3RXPCZQMQPC4FS5GWVCKI9WOVZS1G2","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:false"",""tongue:false"",""throne:false"",""muffin:false"",""smoker:false"",""camera:false"",""summer:false"",""church:false"",""planet:false"",""javelin:true"",""trivia:false"",""casino:false""]",,"14876",,,"2018-07-02 21:25:00","21990"
"A1YG0T6TJPP9QX","cs_wg_full_v2_conf_p","31T4R4OBOSH5924DJPXATS2M0SGC7E","memory","Memory","1","[]","1","30","1","29956",,"0","[""spatula"",""almond"",""walrus"",""giraffe"",""parent"",""baptism"",""trivia"",""animal"",""basket"",""flight"",""pillar"",""""]","[""12"",""10"",""9"",""4"",""2"",""5"",""1"",""7"",""6"",""8"",""11"",""""]","181000",,,"2018-07-02 21:26:17","21991"
"A2B153AHPWHLH1","cs_wg_full_v2_conf_p","3WSELTNVR334EL4MCE4KST4GPN7AT9","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","68379","0","1","carrot",,"16000",,,"2018-07-02 21:38:48","21992"
"A2B153AHPWHLH1","cs_wg_full_v2_conf_p","3WSELTNVR334EL4MCE4KST4GPN7AT9","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""liquid:false"",""beggar:false"",""peacock:false"",""firefly:false"",""pickle:false"",""battery:false"",""abdomen:false"",""carrot:true"",""sponge:false"",""bullet:false"",""beaver:false"",""baptism:false""]",,"7610",,,"2018-07-02 21:38:58","21993"
"A1K4KR1GQYCIWA","cs_wg_full_v2_conf_p","3FFJ6VRIL1PI4UQTQ08NPGQU5K7I01","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","34220","0","1","hermit",,"16000",,,"2018-07-02 21:40:52","21994"
"A1K4KR1GQYCIWA","cs_wg_full_v2_conf_p","3FFJ6VRIL1PI4UQTQ08NPGQU5K7I01","memory","Memory","1","[]","1","30","1","19581",,"0","[""friend"",""tongue"",""hermit"",""baboon"",""peanut"",""dollar"",""trivia"",""chorus"",""sunburn"",""bikini"","""",""""]","[""12"",""11"",""10"",""9"",""2"",""1"",""5"",""6"",""4"",""7"","""",""""]","181000",,,"2018-07-02 21:44:14","21995"
"A3E2ES5KH0RKBZ","cs_wg_full_v2_conf_p","3HMVI3QICJT41JQGQ1YQP93S0VQY15","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","48981","0","1","penguin",,"16000",,,"2018-07-02 21:46:56","21996"
"A3E2ES5KH0RKBZ","cs_wg_full_v2_conf_p","3HMVI3QICJT41JQGQ1YQP93S0VQY15","memory","Memory","1","[]","1","30","1","25456",,"0","[""firefly"",""throne"",""trivia"",""summer"",""turkey"",""flight"",""casino"",""chimney"",""goggles"",""walrus"",""camera"",""""]","[""12"",""11"",""10"",""9"",""8"",""7"",""5"",""4"",""1"",""3"",""2"",""""]","181000",,,"2018-07-02 21:50:24","21997"
