2,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
2,9,"[10 40 0 40 40 0 30 20 60 30 30 30 20 20]"
2,4,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
2,4,"[60 50 50 90 70 80 50 30 90 50 50 80 60 40]"
2,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
2,13,"[25 60 5 40 40 65 90 25 30 0 90 5 65 30]"
2,7,"[20 95 0 70 70 60 70 70 20 85 95 0 20 0]"
4,4,"[25 10 65 35 55 35 5 110 60 15 85 25 70 75]"
4,5,"[30 10 20 10 50 40 40 0 30 20 20 20 20 30]"
4,11,"[20 95 0 70 70 60 70 70 20 85 95 0 20 0]"
4,4,"[60 50 50 90 70 80 50 30 90 50 50 80 60 40]"
4,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
4,7,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
4,5,"[10 40 0 40 40 0 30 20 60 30 30 30 20 20]"
4,4,"[25 60 5 40 40 65 90 25 30 0 90 5 65 30]"
5,10,"[20 95 0 70 70 60 70 70 20 85 95 0 20 0]"
5,6,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
5,9,"[10 40 0 40 40 0 30 20 60 30 30 30 20 20]"
5,10,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
5,6,"[60 50 50 90 70 80 50 30 90 50 50 80 60 40]"
5,7,"[30 10 20 10 50 40 40 0 30 20 20 20 20 30]"
5,13,"[25 60 5 40 40 65 90 25 30 0 90 5 65 30]"
6,4,"[60 50 50 90 70 80 50 30 90 50 50 80 60 40]"
6,3,"[115 60 115 70 60 125 60 60 75 130 45 120 10 40]"
6,6,"[25 60 5 40 40 65 90 25 30 0 90 5 65 30]"
6,11,"[20 95 0 70 70 60 70 70 20 85 95 0 20 0]"
6,5,"[30 10 20 10 50 40 40 0 30 20 20 20 20 30]"
6,12,"[60 30 50 30 70 60 60 10 110 80 50 70 40 50]"
