"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"A272X64FOZFYLB","cs_wg_full_v1_real2","31Z0PCVWUKGMVJ6O5BS0I22QMZZT71","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","32145","liquid",,"21000",,,"2018-06-25 15:32:38","18849"
"A1HIFA234B4LTH","cs_wg_full_v1_real2","3QXNC7EIPIWPTTXQM62ACNRRKER099","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","24940","baboon",,"21000",,,"2018-06-25 15:34:02","18850"
"A1QXYROUID6JGZ","cs_wg_full_v1_real2","31Q0U3WYDPGLMZUF3S8QCWJVUG9717","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","26143","abdomen",,"21000",,,"2018-06-25 15:34:04","18851"
"A1CXB0JXEY20NV","cs_wg_full_v1_real2","3Z3ZLGNNSIVR2KD9MVVF0GFNXQFQ3G","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","15659",,"bullet","21000",,,"2018-06-25 15:34:20","18852"
"ACP3L9X63GBRK","cs_wg_full_v1_real2","3NLZY2D53PQ8IO3YS1ZFW294XC6LQP","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","24339","baboon","budget ","21000",,,"2018-06-25 15:35:12","18853"
"A1E77HZO63E334","cs_wg_full_v1_real2","3LYA37P8IQOAUCJROJQOMD1QMC0BK0","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","24858","COSTUME","COSTUME","21000",,,"2018-06-25 15:35:49","18854"
"A272X64FOZFYLB","cs_wg_full_v1_real2","31Z0PCVWUKGMVJ6O5BS0I22QMZZT71","reversed","Memory","1","[]","1","30","1","15135","[""liquid"",""trivia"",""dollar"",""giraffe"",""beggar"",""forgery"",""domino"",""chicken"",""factory"",""carrot"","""",""""]","[""13"",""15"",""15"",""1"",""6"",""2"",""10"",""9"",""10"",""12"","""",""""]","181000",,,"2018-06-25 15:35:56","18855"
"A1RDT8BS8A8S76","cs_wg_full_v1_real2","3RWE2M8QWHBAIV1KNGLFUOMBP38N0V","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","45541","Walrus",,"21000",,,"2018-06-25 15:36:43","18856"
"ALLP45O3BDWYM","cs_wg_full_v1_real2","3LOTDFNYA70R2TPOIZVNTEM6OH1WFZ","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","41247","planet",,"21000",,,"2018-06-25 15:36:53","18857"
"A9FCR1QRZAM3U","cs_wg_full_v1_real2","3VFJCI1K4Z0S8X4XUPRZO0E1XHLRGP","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27884","baboon",,"21000",,,"2018-06-25 15:37:02","18858"
"A2O0Q5E0X134ZJ","cs_wg_full_v1_real2","3RGU30DZTA9B2JH6XNGLZEC7JM3JMX","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27005","bakery",,"21000",,,"2018-06-25 15:37:03","18859"
"A2XPDRWL1KCWDM","cs_wg_full_v1_real2","3VJ40NV2QIOTGPYNMX92TOOLCO9OTM","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","57064",,,"21000",,,"2018-06-25 15:37:13","18860"
"A3QDBNW2H8EMFW","cs_wg_full_v1_real2","39GHHAVOMFSVYTS0RJGPDKV7XVJ4JO","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","24629","heaven",,"21000",,,"2018-06-25 15:37:15","18861"
"A1MCESL59XN0X6","cs_wg_full_v1_real2","3Q8GYXHFEP3QMYQUVWIDV8OQ7755CG","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","33647","PEACOCK","BIKINI PEACOCK
JAVELIN","21000",,,"2018-06-25 15:37:17","18862"
"A1C7UV2UT2S9T7","cs_wg_full_v1_real2","3UWN2HHPUY6AJ4LWWI4Z4USUKVRSNN","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","21615","dollar",,"21000",,,"2018-06-25 15:37:23","18863"
"A1QXYROUID6JGZ","cs_wg_full_v1_real2","31Q0U3WYDPGLMZUF3S8QCWJVUG9717","reversed","Memory","1","[]","1","30","1","18787","[""coffin"",""celery"",""abdomen"",""spatula"",""jungle"",""tennis"",""baptism"",""barrel"",""silver"",""smoker"","""",""""]","[""1"",""2"",""13"",""13"",""6"",""13"",""10"",""12"",""15"",""9"","""",""""]","181000",,,"2018-06-25 15:37:26","18864"
"A3PV8HAHROZ3RY","cs_wg_full_v1_real2","3SBEHTYCWN4F1PMEY8JWH8KEFHSIYA","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","19638","canvas",,"21000",,,"2018-06-25 15:37:30","18865"
"A2JIRC73O88L0U","cs_wg_full_v1_real2","3TK8OJTYM1MQEHED6SMWJ6HWJELVPQ","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","21400","cannon",,"21000",,,"2018-06-25 15:37:31","18866"
"A13T61GJTR2Y9B","cs_wg_full_v1_real2","3XIQGXAUMC9TC0F8ALTX75NWZVOX7P","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","31203","beaver","beaver","21000",,,"2018-06-25 15:37:34","18867"
"A1HIFA234B4LTH","cs_wg_full_v1_real2","3QXNC7EIPIWPTTXQM62ACNRRKER099","reversed","Memory","1","[]","1","30","1","24232","[""waffle"",""baboon"",""sunburn"",""domino"",""eardrum"",""smoker"","""","""","""","""","""",""""]","[""1"",""2"",""15"",""10"",""14"",""9"","""","""","""","""","""",""""]","181000",,,"2018-06-25 15:37:36","18868"
"A2U168YW4BPLJF","cs_wg_full_v1_real2","3VBEN272MK049C4A9ER4EAJXJJ4GS2","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","16060","penguin",,"21000",,,"2018-06-25 15:37:47","18869"
"A1CXB0JXEY20NV","cs_wg_full_v1_real2","3Z3ZLGNNSIVR2KD9MVVF0GFNXQFQ3G","normal","Memory","1","[]","1","30","1","34621","[""dragon"",""muffin"",""walnut"",""eardrum"",""demon"",""baboon"",""banquet"","""","""","""","""",""""]","[""10"",""15"",""3"",""4"",""3"",""6"",""3"","""","""","""","""",""""]","181000",,,"2018-06-25 15:37:58","18870"
"AMG2RYZ491GTF","cs_wg_full_v1_real2","3KB8R4ZV1E85SQN8YS59OL9XFVKBGY","normal","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","13871","tongue","royalty
tongue","21000",,,"2018-06-25 15:37:59","18871"
"A2NI2HSU84PHJW","cs_wg_full_v1_real2","3NL0RFNU0FOQ9DYI94G1EZVKCKJK43","reversed","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","19650","church",,"21000",,,"2018-06-25 15:38:00","18872"
